Element;X;Y;Z;XY;YZ;XZ
163;-89.5023;-201.9755;-172.0689;79.9774;11.8127;12.1125
164;-621.2533;-719.9645;-700.1464;83.9282;17.9985;-0.4593
165;-260.9264;-402.8925;-346.2354;68.1326;21.4219;0.6173
166;99.2891;-84.6796;5.1778;32.9061;25.5465;-3.2038
167;1.3726;-193.6479;-104.4185;16.1511;17.1349;-11.0800
168;-33.8141;-232.3815;-141.6374;12.5062;6.2857;-8.0934
169;-64.3061;-262.4976;-164.5796;7.6756;3.5377;-10.2845
170;-9.0317;-207.0122;-104.1610;5.1277;5.0249;-10.1710
171;6.0074;-192.2788;-88.6274;-0.9034;1.1143;-11.5871
172;11.2176;-187.3422;-86.7177;-2.8260;-2.9077;-9.0263
173;54.3451;-143.7569;-42.6283;-5.9695;-3.3806;-12.0310
174;17.5791;-179.8972;-82.3091;-8.7864;-3.1174;-12.5516
175;1.9492;-194.0227;-95.7165;-14.0257;-6.0442;-7.3136
176;56.4409;-141.1829;-44.1007;-4.2803;-10.0251;-10.4775
177;-17.0390;-216.3016;-122.3569;-1.7915;-3.3699;-7.5057
178;-72.8761;-270.0358;-176.0020;-15.3173;-2.3978;-2.6096
179;9.6848;-188.4836;-95.5937;3.7360;-1.5231;-1.3963
180;-38.0802;-234.5311;-147.7141;-15.3635;1.8788;-3.5093
181;-88.0743;-272.9691;-204.3518;-32.8336;-15.2578;2.8422
182;-78.5982;-216.7080;-148.5935;-54.0055;-50.2251;-0.5443
183;-305.0458;-445.1478;-355.0292;-71.7119;-4.7008;-1.5012
186;-1.0152;-118.3489;-107.1193;68.7784;-20.0582;-24.5561
187;-293.2005;-406.6203;-380.5273;79.0080;-13.3244;-15.3116
188;-290.3631;-425.3502;-383.3601;73.3250;0.1690;-7.7178
189;150.4509;-33.7123;30.6923;38.2270;3.1274;-1.6989
190;30.6128;-165.0209;-78.8305;23.2789;3.4385;-4.5342
191;10.1183;-186.8064;-95.7176;17.7831;3.0447;-6.7852
192;-4.5857;-202.7167;-114.8619;4.4101;-0.7713;-8.1889
193;-52.4674;-250.9823;-163.9954;3.2305;-1.7110;-1.7541
194;-3.2374;-201.5952;-113.6322;2.9893;-1.3034;-4.4652
195;2.0198;-196.8058;-106.9781;-1.8957;-1.6413;-1.3728
196;23.4339;-174.0101;-87.6827;-7.9037;0.0170;-7.2427
197;47.2707;-150.5045;-63.5801;-3.4418;-2.7107;-9.9293
198;-26.7521;-224.1653;-138.6260;-2.8106;-6.2633;-9.4943
199;-7.0793;-203.0815;-122.7137;-0.2473;-5.5561;-10.9723
200;15.7967;-181.8631;-97.8125;-3.8631;-2.4671;-2.1982
201;-102.8091;-301.0555;-214.5734;-4.6686;-2.9449;-0.6684
202;-1.7408;-199.5012;-111.9484;1.8737;-7.8605;3.0766
203;-69.8526;-267.9662;-174.7474;-8.9500;-1.5186;0.2840
204;54.2709;-139.9964;-42.5023;-22.9450;-2.6423;2.4328
205;-125.9127;-294.3695;-194.9275;-54.7672;-0.2153;6.1044
206;-4.3379;-140.9093;-69.7143;-74.1913;-0.1695;-6.1805
209;-179.9030;-359.2349;-265.1045;45.3259;-1.9423;-4.9407
210;-294.2574;-412.2531;-386.4811;78.3870;-0.6675;12.6047
211;-120.6723;-259.5323;-218.5676;71.0957;-3.2629;7.2442
212;101.1934;-80.2150;-6.5421;43.3782;-1.6509;0.0652
213;-6.1187;-202.0848;-112.0343;24.0102;-2.1174;2.3900
214;-15.5135;-212.8513;-118.8909;17.7623;-1.3520;1.6973
215;-36.9005;-235.5228;-144.4719;5.7804;0.7973;5.1831
216;-27.2706;-225.6930;-138.8273;4.2588;0.5532;1.5550
217;31.4498;-166.7741;-80.5518;3.2873;-0.8074;4.7306
218;-9.6462;-208.0168;-122.5788;-4.2516;-0.3980;3.8378
219;13.1103;-184.9983;-93.6466;-8.7373;2.4700;3.7106
220;-44.4072;-242.5920;-156.3167;-0.0198;3.9873;7.3652
221;12.9046;-185.5857;-97.5425;0.4768;3.6195;6.3014
222;-10.0894;-207.6734;-117.2293;-5.9215;4.7999;8.7590
223;-36.1285;-233.9105;-143.5655;-1.6274;4.3538;1.5376
