Element;X;Y;Z;XY;YZ;XZ
163;-1205.3284;-1291.4663;-1242.9928;91.2775;1.4422;-3.1619
164;-203.2179;-373.5575;-278.0390;16.0776;-51.5776;0.0113
165;88.7178;-43.1697;34.0040;67.4746;-35.2146;4.9827
166;56.0200;-89.0182;-3.8918;57.7937;-39.0150;-5.8356
167;-51.8886;-223.6731;-125.2397;44.5846;-27.1964;-6.1282
168;-94.8498;-274.5644;-176.7383;43.5450;-13.3328;-6.2378
169;31.5404;-159.6358;-66.1547;25.4687;-17.0580;-11.4079
170;168.6917;-16.5050;74.6032;30.1348;-26.9187;0.6455
171;-81.2846;-255.7721;-162.8188;36.2431;-29.5907;0.5444
172;-47.8021;-235.7873;-132.8600;14.9532;-30.4894;-1.3458
173;123.2599;-57.7705;39.1603;29.2344;-28.9385;3.8166
174;47.2935;-139.6969;-37.4809;12.7126;-35.7505;-0.4531
175;209.0498;31.1631;122.4081;9.8573;-46.6131;-5.0694
176;-10.5190;-183.0708;-105.0535;19.4489;-45.1963;17.9195
177;65.3964;-110.8822;-25.1635;-7.1117;-47.0736;13.0899
178;180.2033;11.0412;90.9585;3.4736;-52.4434;14.0871
179;202.1404;39.7911;94.4123;1.7531;-52.4719;6.3047
180;101.3528;-54.5765;14.4111;-30.6183;-50.6981;15.6017
181;147.3143;20.6168;74.3605;-51.7860;-47.8535;-34.5364
182;-257.6975;-394.6534;-370.3410;-23.2941;-37.6091;-52.0669
183;-54.3697;-106.9109;-81.4930;-97.3523;5.9294;2.3082
186;-1000.9301;-1089.0626;-1035.6920;90.0679;-10.9068;2.5419
187;91.1101;-85.2537;17.9599;40.4646;-26.6067;-1.7143
188;-11.3928;-174.9993;-78.9814;56.8147;-8.5307;3.5850
189;59.4441;-106.1973;-5.5521;51.1385;-4.2849;0.5254
190;-122.8587;-309.1935;-199.0375;33.2061;-14.0848;0.6136
191;-92.3608;-274.0398;-162.6988;39.6662;-15.5731;0.6940
