Element;X;Y;Z;XY;YZ;XZ
163;-211.1843;-391.3814;-309.7744;39.9528;-11.0863;15.8832
164;-111.2780;-309.8259;-211.7751;10.3816;-5.7661;11.2050
165;-172.9483;-374.1339;-265.7121;2.7914;0.2607;6.8940
166;4.4506;-197.2732;-90.0422;3.6576;-1.6448;-2.3669
167;-118.5259;-319.2798;-212.4195;9.3972;1.6813;-5.2583
168;-29.2066;-229.8574;-126.7144;5.2341;2.8878;-10.2359
169;-10.1800;-210.9822;-114.0446;8.1614;1.5119;-5.3581
170;-25.2067;-224.8023;-132.5148;-6.5427;2.0087;-12.2056
171;-21.4843;-221.4493;-119.9984;-0.4245;1.2588;-9.8962
172;-68.6656;-267.3618;-157.8438;-6.3658;0.5587;-8.9964
173;-69.6637;-268.1006;-156.6473;-4.5501;3.1629;-6.8694
174;-26.6648;-223.4297;-119.9181;-12.7597;2.8162;-7.4114
175;-32.9864;-228.4992;-135.6257;-15.5411;-0.4170;-7.2512
176;-37.0484;-229.7688;-137.0135;-21.1529;-0.1573;-8.5241
177;-53.7052;-237.0005;-150.8601;-35.7389;1.1666;-9.5725
178;-59.5971;-241.3978;-146.9890;-38.2579;2.6116;-7.6282
179;-40.9982;-234.2533;-141.2591;-18.5870;2.6714;-9.4489
180;-33.6299;-220.6727;-144.0127;-33.5201;9.1088;0.1501
181;-24.4619;-197.8233;-136.5744;-47.9010;10.6776;-5.0387
182;-28.2379;-199.5318;-149.5683;-47.2670;2.7861;-14.3722
183;-151.3788;-294.8418;-312.2684;-46.5506;4.1529;-15.1326
186;-20.6061;-208.0843;-107.3083;37.2039;-0.8593;-4.4654
187;-136.0851;-337.9928;-231.8535;2.2736;1.0199;-1.2191
188;-74.8610;-275.2381;-181.1795;8.9899;-1.3814;-0.5277
189;-28.1507;-229.4826;-141.9268;1.1168;0.6034;-3.3660
190;-47.4118;-247.7762;-161.9179;9.7885;1.2974;-2.4416
191;-8.0585;-208.0865;-123.5463;11.1387;0.9284;0.8867
192;-16.4561;-217.8572;-127.2215;2.1938;3.0375;-4.4644
193;-55.9047;-256.9813;-159.9712;-1.0863;1.5888;-5.6726
194;8.1313;-192.0864;-96.6172;0.8354;0.2259;-4.3417
195;8.0887;-191.9874;-96.3781;-0.3403;-1.1826;1.3711
196;-1.7206;-200.3745;-107.9879;-6.8837;-3.6002;-3.6751
197;-52.3276;-249.8306;-155.3519;-10.6905;-4.2351;-5.0835
198;-44.4797;-241.5038;-142.6224;-11.5637;-2.5458;-3.7096
199;-53.3713;-245.4989;-150.3871;-24.1869;-0.0817;-1.4756
200;-51.4514;-228.8140;-143.7029;-43.2151;3.7000;-1.1821
201;-65.5754;-252.9484;-171.5344;-30.9146;3.7622;-1.2086
202;-49.8717;-246.3927;-158.2384;-12.6575;-3.6243;2.9678
203;-33.5407;-212.6572;-128.6693;-44.1980;-3.2729;0.9850
204;-53.9319;-234.3277;-150.3512;-44.4351;-3.8400;6.3794
205;-53.3192;-213.3630;-142.5529;-60.0103;0.1393;13.2400
206;-95.0827;-282.0179;-169.1754;-3.9602;-16.1306;30.4859
209;-13.7342;-200.9350;-118.0261;37.0745;-0.9094;-2.9976
210;-155.9781;-357.2482;-265.2565;4.5991;-1.9557;-3.7191
211;-106.1778;-307.3608;-207.5885;8.7297;-0.0716;2.4959
212;-35.2774;-237.2042;-137.8263;2.0817;-1.0442;2.9094
213;-25.8605;-227.0526;-134.7618;7.7788;-1.6151;1.6327
214;-22.5403;-223.2248;-131.5461;8.2961;1.8091;6.5306
215;-45.9887;-247.8037;-153.5037;0.9207;3.2314;0.3449
216;28.3055;-172.8570;-75.0761;3.5385;3.4489;0.2188
217;-14.8134;-214.9204;-124.4954;4.9825;3.0443;-0.5517
218;-22.8303;-221.7724;-141.2206;2.8860;0.9780;0.9626
219;-16.7627;-214.4702;-131.2958;-9.4439;1.5379;3.9906
220;-22.0401;-219.3637;-127.5366;-12.6292;1.9485;-0.4292
221;-55.1287;-251.5494;-154.9187;-13.8714;0.6992;4.6553
222;-13.3682;-205.3101;-112.7038;-24.4726;0.5026;-0.6025
223;-74.2533;-249.4794;-166.0969;-45.5546;-3.2065;-4.8997
224;-46.7883;-236.7936;-146.1186;-27.3136;-4.0019;1.9086
225;-20.3429;-215.9372;-130.4104;-14.7712;2.5860;5.2724
226;-47.4049;-230.8781;-146.1537;-40.0095;-1.3565;2.1459
