Element;X;Y;Z;XY;YZ;XZ
163;0.9927;-0.9799;-0.0181;0.0366;-0.0438;0.0073
164;1.0320;-1.0245;-0.0121;-0.1345;-0.0452;-0.0221
165;0.9974;-0.9932;-0.0046;-0.3130;-0.0633;-0.0594
166;0.9446;-0.9388;-0.0064;-0.3771;-0.0783;-0.0873
167;0.9013;-0.8930;-0.0094;-0.3536;-0.0917;-0.1013
168;0.8668;-0.8623;-0.0053;-0.2845;-0.0907;-0.0984
169;0.8423;-0.8438;0.0011;-0.1781;-0.0840;-0.0956
170;0.8239;-0.8249;-0.0001;-0.0665;-0.0820;-0.0751
171;0.8045;-0.8015;-0.0047;0.0380;-0.0800;-0.0642
172;0.7749;-0.7739;-0.0010;0.1239;-0.0788;-0.0554
173;0.7470;-0.7490;0.0001;0.1911;-0.0814;-0.0347
174;0.7249;-0.7226;-0.0036;0.2397;-0.0826;-0.0222
175;0.7038;-0.6995;-0.0055;0.2879;-0.0879;-0.0136
176;0.6924;-0.6909;-0.0033;0.3132;-0.1011;-0.0044
177;0.6823;-0.6831;-0.0010;0.3389;-0.1079;0.0032
178;0.6863;-0.6858;-0.0013;0.3585;-0.1042;-0.0029
179;0.7211;-0.7245;0.0015;0.3606;-0.0969;-0.0190
180;0.7883;-0.7864;-0.0027;0.3622;-0.0820;-0.0535
181;0.9046;-0.9033;-0.0030;0.3666;-0.0677;-0.0782
182;1.0751;-1.0751;-0.0008;0.3865;-0.0443;-0.0667
183;1.2753;-1.2743;-0.0055;0.5039;0.0114;-0.0105
186;1.0059;-0.9756;-0.0360;0.0483;-0.0187;0.0052
187;1.0305;-1.0157;-0.0176;-0.1202;-0.0253;-0.0038
188;0.9834;-0.9721;-0.0130;-0.3244;-0.0308;-0.0210
189;0.9269;-0.9242;-0.0035;-0.3955;-0.0302;-0.0190
190;0.8924;-0.8977;0.0038;-0.3655;-0.0350;-0.0190
191;0.8712;-0.8732;0.0014;-0.2841;-0.0307;0.0016
192;0.8433;-0.8403;-0.0041;-0.1668;-0.0250;0.0061
