Element;X;Y;Z;XY;YZ;XZ
163;1.3517;-1.3333;-0.0168;0.1516;-0.1347;0.1247
164;1.4201;-1.4064;-0.0189;-0.0556;-0.1035;0.0929
165;1.3906;-1.3808;-0.0118;-0.3072;-0.0975;0.0220
166;1.3217;-1.3127;-0.0108;-0.4389;-0.1028;-0.0036
167;1.2734;-1.2691;-0.0057;-0.4510;-0.1042;0.0082
168;1.2493;-1.2561;0.0057;-0.4012;-0.0984;0.0259
169;1.2409;-1.2521;0.0112;-0.3130;-0.0967;0.0329
170;1.2329;-1.2362;0.0035;-0.2162;-0.0983;0.0657
171;1.2254;-1.2180;-0.0055;-0.1133;-0.0947;0.1115
172;1.2133;-1.2095;-0.0033;-0.0265;-0.0898;0.1484
173;1.1961;-1.1964;-0.0001;0.0420;-0.0954;0.1947
174;1.1799;-1.1805;0.0003;0.1018;-0.1038;0.2169
175;1.1700;-1.1684;-0.0030;0.1547;-0.1098;0.2125
176;1.1728;-1.1664;-0.0063;0.1902;-0.1162;0.2052
177;1.1780;-1.1739;-0.0043;0.2226;-0.1144;0.1851
178;1.1954;-1.1945;-0.0025;0.2310;-0.1094;0.1436
179;1.2409;-1.2384;-0.0050;0.2051;-0.1005;0.0902
180;1.3044;-1.2827;-0.0243;0.1492;-0.0759;0.0209
181;1.3970;-1.3545;-0.0451;0.0561;-0.0593;-0.0231
182;1.4926;-1.4355;-0.0596;-0.0785;-0.0497;0.0044
183;1.6149;-1.5421;-0.0767;-0.1683;-0.0031;-0.0232
186;1.3475;-1.3600;0.0145;0.1613;-0.0411;-0.0155
187;1.4096;-1.4367;0.0213;-0.0503;-0.0421;-0.0033
188;1.3737;-1.3997;0.0246;-0.3078;-0.0360;0.0094
189;1.3028;-1.3357;0.0318;-0.4342;-0.0279;0.0173
190;1.2643;-1.2985;0.0325;-0.4414;-0.0334;0.0127
191;1.2561;-1.2826;0.0249;-0.3806;-0.0288;0.0484
192;1.2413;-1.2569;0.0141;-0.2812;-0.0237;0.0750
193;1.2210;-1.2280;0.0051;-0.1785;-0.0323;0.0687
194;1.2161;-1.2227;0.0072;-0.0731;-0.0353;0.0556
195;1.2075;-1.2178;0.0092;0.0142;-0.0287;0.0434
196;1.1882;-1.1980;0.0084;0.0752;-0.0301;0.0291
197;1.1771;-1.1827;0.0060;0.1352;-0.0330;0.0185
198;1.1657;-1.1695;0.0024;0.1880;-0.0309;0.0357
199;1.1572;-1.1600;0.0022;0.2218;-0.0258;0.0433
200;1.1587;-1.1647;0.0047;0.2443;-0.0265;0.0430
201;1.1786;-1.1797;0.0012;0.2467;-0.0270;0.0713
202;1.2247;-1.2196;-0.0066;0.2100;-0.0264;0.0773
203;1.2854;-1.2623;-0.0244;0.1340;-0.0213;0.0793
204;1.3887;-1.3419;-0.0483;0.0176;-0.0023;0.0544
205;1.5026;-1.4500;-0.0582;-0.1191;0.0081;-0.0435
206;1.6482;-1.5518;-0.0954;-0.1785;0.0229;-0.0622
209;1.3522;-1.3588;0.0097;0.1507;0.0296;0.0163
210;1.4154;-1.4383;0.0155;-0.0599;0.0429;0.0281
211;1.3718;-1.3951;0.0227;-0.3156;0.0481;0.0182
212;1.3014;-1.3328;0.0297;-0.4367;0.0562;0.0044
213;1.2662;-1.2978;0.0304;-0.4394;0.0615;0.0055
214;1.2580;-1.2839;0.0245;-0.3761;0.0462;-0.0294
215;1.2414;-1.2582;0.0147;-0.2844;0.0374;-0.0461
216;1.2254;-1.2320;0.0044;-0.1868;0.0404;-0.0366
217;1.2203;-1.2246;0.0055;-0.0754;0.0419;-0.0233
218;1.2047;-1.2145;0.0071;0.0153;0.0400;-0.0131
219;1.1837;-1.1873;0.0030;0.0812;0.0377;-0.0022
220;1.1749;-1.1810;0.0073;0.1449;0.0397;-0.0043
221;1.1656;-1.1773;0.0098;0.1980;0.0457;-0.0044
222;1.1526;-1.1599;0.0061;0.2365;0.0493;-0.0132
223;1.1525;-1.1594;0.0060;0.2610;0.0497;-0.0301
224;1.1779;-1.1840;0.0058;0.2589;0.0469;-0.0403
225;1.2229;-1.2160;-0.0076;0.2161;0.0397;-0.0461
226;1.2867;-1.2621;-0.0252;0.1249;0.0329;-0.0462
227;1.3936;-1.3552;-0.0389;-0.0096;0.0324;-0.0355
228;1.5003;-1.4355;-0.0681;-0.1541;0.0295;0.0441
229;1.6473;-1.5593;-0.0914;-0.1943;0.0083;0.0304
232;1.3657;-1.3446;-0.0210;0.1361;0.1209;-0.1545
233;1.4329;-1.4184;-0.0201;-0.0739;0.1063;-0.1199
234;1.3886;-1.3880;-0.0018;-0.3166;0.1035;-0.0428
235;1.3185;-1.3210;0.0001;-0.4383;0.1100;-0.0018
236;1.2785;-1.2761;-0.0039;-0.4409;0.1172;-0.0120
237;1.2547;-1.2566;0.0005;-0.3984;0.1136;-0.0198
238;1.2402;-1.2491;0.0086;-0.3255;0.1090;-0.0279
239;1.2322;-1.2421;0.0100;-0.2277;0.1063;-0.0623
240;1.2251;-1.2193;-0.0054;-0.1182;0.1051;-0.1108
241;1.2066;-1.1940;-0.0096;-0.0130;0.1051;-0.1644
242;1.1887;-1.1916;0.0021;0.0691;0.1104;-0.1982
243;1.1761;-1.1798;0.0049;0.1346;0.1188;-0.2094
244;1.1677;-1.1804;0.0113;0.1845;0.1231;-0.1984
245;1.1653;-1.1847;0.0182;0.2190;0.1282;-0.1763
246;1.1684;-1.1819;0.0119;0.2368;0.1318;-0.1368
247;1.1939;-1.2010;0.0062;0.2357;0.1304;-0.0789
248;1.2392;-1.2465;0.0060;0.1990;0.1192;-0.0173
249;1.3026;-1.2999;-0.0048;0.1232;0.0955;0.0665
250;1.3983;-1.3641;-0.0371;-0.0015;0.0718;0.1259
251;1.4857;-1.4252;-0.0645;-0.1499;0.0578;0.1067
252;1.6167;-1.5438;-0.0750;-0.1873;0.0222;0.1175
301;1.2855;-1.3067;0.0072;0.1891;-0.1070;0.0933
302;1.3132;-1.3037;-0.0109;0.1640;-0.1113;0.1698
303;1.3641;-1.3639;-0.0043;0.1460;-0.1199;0.1982
304;1.4087;-1.4222;0.0088;0.0777;-0.1177;0.1956
305;1.4230;-1.4418;0.0159;0.0074;-0.1013;0.1930
306;1.4299;-1.4509;0.0179;-0.0304;-0.0898;0.1932
307;1.4211;-1.4358;0.0120;-0.0398;-0.0937;0.1853
308;1.4018;-1.4053;0.0007;-0.0397;-0.0982;0.2078
309;1.3765;-1.3738;-0.0058;-0.0302;-0.1010;0.2294
