Element;X;Y;Z;XY;YZ;XZ
163;1.0268;-0.9864;-0.0444;-0.0814;-0.0875;-0.0242
164;0.9628;-0.9199;-0.0460;-0.4363;-0.1717;-0.1043
165;0.8809;-0.8496;-0.0351;-0.6797;-0.1929;-0.0986
166;0.8599;-0.8484;-0.0166;-0.8587;-0.1987;-0.1503
167;0.7856;-0.7880;0.0033;-0.9300;-0.1864;-0.1638
168;0.7572;-0.7655;0.0073;-0.8724;-0.1879;-0.1753
169;0.7511;-0.7629;0.0115;-0.7171;-0.1925;-0.1628
170;0.7540;-0.7792;0.0243;-0.4903;-0.1809;-0.1488
171;0.7783;-0.8025;0.0235;-0.2519;-0.1584;-0.1177
172;0.7949;-0.8065;0.0109;-0.0324;-0.1511;-0.0791
173;0.7902;-0.7914;0.0009;0.1388;-0.1610;-0.0148
174;0.7915;-0.7801;-0.0114;0.2848;-0.1750;0.0285
175;0.7885;-0.7587;-0.0302;0.3994;-0.2018;0.0629
176;0.7642;-0.7319;-0.0340;0.4971;-0.2142;0.1207
177;0.7474;-0.7137;-0.0338;0.5586;-0.2078;0.1606
178;0.7235;-0.6852;-0.0377;0.5954;-0.2289;0.1573
179;0.6960;-0.6520;-0.0439;0.6743;-0.2502;0.1285
180;0.7042;-0.6652;-0.0406;0.7012;-0.2407;0.1150
181;0.7309;-0.7084;-0.0247;0.6329;-0.2068;0.0848
182;0.7701;-0.7645;-0.0091;0.5054;-0.1265;0.0761
183;1.0139;-1.0096;-0.0098;0.3164;-0.0314;0.0918
186;1.0560;-1.0115;-0.0496;-0.0735;-0.0531;0.1152
187;0.9533;-0.9387;-0.0209;-0.4177;-0.0533;0.0398
188;0.8602;-0.8744;0.0097;-0.6921;-0.0564;-0.0101
189;0.7994;-0.8415;0.0404;-0.8997;-0.0702;-0.0373
190;0.7126;-0.7562;0.0427;-0.9684;-0.0817;-0.0551
191;0.6868;-0.7384;0.0511;-0.9104;-0.0776;-0.0522
192;0.6868;-0.7437;0.0566;-0.7598;-0.0661;-0.0615
193;0.7101;-0.7606;0.0495;-0.5103;-0.0516;-0.0679
194;0.7445;-0.7913;0.0453;-0.2675;-0.0438;-0.0715
195;0.7611;-0.8050;0.0425;-0.0379;-0.0438;-0.0842
196;0.7572;-0.7964;0.0376;0.1370;-0.0553;-0.0972
197;0.7528;-0.7907;0.0364;0.3113;-0.0596;-0.0918
198;0.7343;-0.7668;0.0312;0.4655;-0.0583;-0.0743
199;0.7050;-0.7313;0.0250;0.5743;-0.0612;-0.0568
200;0.6723;-0.7027;0.0274;0.6577;-0.0514;-0.0539
201;0.6323;-0.6601;0.0258;0.6892;-0.0425;-0.0345
202;0.6025;-0.6296;0.0260;0.7409;-0.0560;0.0159
