Element;X;Y;Z;XY;YZ;XZ
163;0.6248;-0.5642;-0.0616;-1.5344;-0.0216;-0.0057
164;0.4451;-0.4140;-0.0282;-1.2414;-0.0850;-0.0112
165;0.3952;-0.3733;-0.0212;-0.8781;-0.1208;-0.0127
166;0.3578;-0.3459;-0.0119;-0.6510;-0.1395;-0.0612
167;0.3439;-0.3449;0.0022;-0.5281;-0.1329;-0.0696
168;0.3649;-0.3691;0.0046;-0.3991;-0.1311;-0.0825
169;0.4049;-0.4112;0.0056;-0.2663;-0.1316;-0.0874
170;0.4429;-0.4494;0.0058;-0.1168;-0.1336;-0.0896
171;0.4779;-0.4856;0.0069;0.0091;-0.1268;-0.0723
172;0.5070;-0.5165;0.0086;0.1426;-0.1277;-0.0445
173;0.5359;-0.5459;0.0093;0.2589;-0.1401;-0.0299
174;0.5489;-0.5531;0.0038;0.3821;-0.1527;-0.0190
175;0.5443;-0.5452;0.0004;0.4911;-0.1633;-0.0154
176;0.5137;-0.5202;0.0064;0.5948;-0.1730;-0.0066
177;0.4719;-0.4840;0.0121;0.6843;-0.1826;0.0019
178;0.4192;-0.4284;0.0088;0.7625;-0.1958;0.0078
179;0.3468;-0.3514;0.0035;0.8500;-0.1962;-0.0103
180;0.2933;-0.2920;-0.0006;0.9265;-0.1750;-0.0391
181;0.2962;-0.2879;-0.0076;0.9748;-0.1393;-0.0516
182;0.3189;-0.3012;-0.0180;1.1050;-0.0316;-0.1029
183;0.3832;-0.3192;-0.0634;1.4357;0.0406;-0.0971
186;0.6317;-0.5561;-0.0758;-1.5451;-0.0028;0.0011
187;0.4363;-0.3861;-0.0483;-1.1979;-0.0288;-0.0154
188;0.3498;-0.3292;-0.0190;-0.8514;-0.0381;0.0020
189;0.3222;-0.3242;0.0031;-0.6676;-0.0569;-0.0229
190;0.3159;-0.3236;0.0091;-0.5567;-0.0490;-0.0223
191;0.3399;-0.3542;0.0150;-0.4357;-0.0486;-0.0338
192;0.3847;-0.4057;0.0212;-0.2932;-0.0513;-0.0300
193;0.4279;-0.4516;0.0241;-0.1393;-0.0517;-0.0247
194;0.4679;-0.4925;0.0250;0.0024;-0.0498;-0.0264
195;0.4951;-0.5187;0.0243;0.1691;-0.0506;-0.0260
196;0.5157;-0.5386;0.0236;0.2880;-0.0542;-0.0339
197;0.5238;-0.5479;0.0249;0.3997;-0.0574;-0.0321
198;0.5138;-0.5350;0.0216;0.5082;-0.0580;-0.0318
199;0.4900;-0.5062;0.0161;0.6092;-0.0526;-0.0259
200;0.4517;-0.4696;0.0181;0.6977;-0.0404;-0.0269
201;0.3859;-0.4137;0.0278;0.7773;-0.0378;-0.0285
202;0.3136;-0.3419;0.0287;0.8389;-0.0420;-0.0205
203;0.2661;-0.2817;0.0156;0.9000;-0.0422;-0.0083
204;0.2755;-0.2716;-0.0038;0.9540;-0.0284;-0.0391
205;0.3359;-0.2855;-0.0502;1.0682;-0.0220;-0.0427
206;0.4100;-0.3129;-0.0941;1.4271;-0.0400;0.0265
209;0.6322;-0.5557;-0.0758;-1.5539;-0.0094;-0.0079
210;0.4307;-0.3837;-0.0455;-1.1958;0.0231;0.0213
211;0.3418;-0.3254;-0.0152;-0.8568;0.0299;0.0026
212;0.3190;-0.3235;0.0054;-0.6735;0.0490;0.0192
213;0.3141;-0.3204;0.0076;-0.5571;0.0497;0.0269
214;0.3382;-0.3543;0.0168;-0.4322;0.0481;0.0255
215;0.3856;-0.4078;0.0226;-0.2898;0.0517;0.0287
216;0.4280;-0.4532;0.0255;-0.1391;0.0506;0.0288
217;0.4667;-0.4907;0.0242;0.0016;0.0496;0.0278
218;0.4954;-0.5208;0.0256;0.1654;0.0489;0.0293
219;0.5154;-0.5401;0.0253;0.2821;0.0491;0.0347
220;0.5247;-0.5484;0.0239;0.3980;0.0519;0.0372
221;0.5131;-0.5345;0.0214;0.5077;0.0532;0.0388
222;0.4861;-0.5057;0.0197;0.6078;0.0511;0.0307
223;0.4476;-0.4687;0.0214;0.7063;0.0458;0.0325
224;0.3876;-0.4110;0.0235;0.7850;0.0446;0.0367
