Element;X;Y;Z;XY;YZ;XZ
163;0.9327;-0.9247;-0.0112;0.1194;-0.0021;-0.0234
164;0.8865;-0.8821;-0.0054;0.1268;-0.0314;-0.0478
165;0.8475;-0.8472;-0.0007;0.1417;-0.0365;-0.0612
166;0.7939;-0.7945;0.0003;0.2189;-0.0409;-0.0710
167;0.7471;-0.7418;-0.0063;0.3061;-0.0475;-0.0699
168;0.7039;-0.6987;-0.0063;0.4462;-0.0423;-0.0606
169;0.6664;-0.6655;-0.0018;0.5782;-0.0368;-0.0582
170;0.6387;-0.6389;-0.0011;0.6603;-0.0323;-0.0550
171;0.6197;-0.6177;-0.0028;0.6973;-0.0322;-0.0604
172;0.6092;-0.6064;-0.0037;0.6928;-0.0408;-0.0634
173;0.5981;-0.5946;-0.0047;0.6560;-0.0461;-0.0643
174;0.5798;-0.5757;-0.0055;0.6195;-0.0520;-0.0657
175;0.5548;-0.5506;-0.0052;0.5890;-0.0586;-0.0594
176;0.5325;-0.5296;-0.0038;0.5619;-0.0582;-0.0590
177;0.5183;-0.5181;-0.0016;0.5272;-0.0601;-0.0506
178;0.5043;-0.5050;-0.0007;0.4969;-0.0633;-0.0536
179;0.4934;-0.4987;0.0042;0.5432;-0.0666;-0.0574
180;0.5216;-0.5273;0.0047;0.6401;-0.0543;-0.0705
181;0.5830;-0.5914;0.0071;0.8158;-0.0416;-0.0605
182;0.7077;-0.7103;0.0024;1.0224;-0.0129;-0.0637
183;0.8502;-0.8167;-0.0356;1.3499;0.0370;-0.0657
186;0.9221;-0.8915;-0.0346;0.1239;-0.0057;0.0227
187;0.8841;-0.8682;-0.0165;0.1139;-0.0149;-0.0015
188;0.8450;-0.8361;-0.0109;0.1223;-0.0169;-0.0162
189;0.7939;-0.7853;-0.0095;0.2110;-0.0154;-0.0191
190;0.7426;-0.7382;-0.0051;0.3048;-0.0203;-0.0243
191;0.6936;-0.6918;-0.0028;0.4608;-0.0197;-0.0273
192;0.6542;-0.6517;-0.0037;0.5966;-0.0176;-0.0312
193;0.6307;-0.6257;-0.0055;0.6610;-0.0177;-0.0349
194;0.6144;-0.6109;-0.0046;0.6965;-0.0116;-0.0425
195;0.6065;-0.6046;-0.0029;0.6964;-0.0096;-0.0447
196;0.5949;-0.5941;-0.0020;0.6663;-0.0122;-0.0413
197;0.5750;-0.5742;-0.0018;0.6325;-0.0126;-0.0404
198;0.5516;-0.5516;-0.0012;0.6008;-0.0154;-0.0375
199;0.5323;-0.5324;-0.0008;0.5757;-0.0220;-0.0336
200;0.5126;-0.5135;-0.0003;0.5420;-0.0230;-0.0296
201;0.4949;-0.4976;0.0018;0.5164;-0.0175;-0.0372
202;0.4864;-0.4866;-0.0012;0.5532;-0.0164;-0.0407
203;0.5162;-0.5155;-0.0025;0.6325;-0.0127;-0.0461
204;0.5884;-0.5861;-0.0038;0.8185;0.0007;-0.0733
205;0.7202;-0.7063;-0.0139;1.0168;0.0206;-0.0873
206;0.8626;-0.8518;-0.0141;1.3776;0.0223;-0.0380
209;0.9238;-0.8898;-0.0363;0.1258;-0.0112;-0.0223
210;0.8872;-0.8656;-0.0223;0.1200;0.0079;-0.0048
211;0.8494;-0.8364;-0.0147;0.1203;0.0152;0.0073
212;0.7970;-0.7886;-0.0093;0.2014;0.0169;0.0135
213;0.7433;-0.7392;-0.0048;0.3005;0.0213;0.0211
214;0.6932;-0.6931;-0.0010;0.4614;0.0201;0.0225
215;0.6526;-0.6509;-0.0026;0.5975;0.0177;0.0286
216;0.6304;-0.6264;-0.0043;0.6642;0.0134;0.0362
217;0.6132;-0.6115;-0.0028;0.6990;0.0125;0.0421
218;0.6040;-0.6007;-0.0044;0.6996;0.0138;0.0508
219;0.5962;-0.5932;-0.0043;0.6677;0.0148;0.0429
220;0.5789;-0.5775;-0.0028;0.6322;0.0153;0.0434
221;0.5560;-0.5537;-0.0036;0.5993;0.0196;0.0445
222;0.5360;-0.5328;-0.0047;0.5707;0.0252;0.0384
223;0.5116;-0.5106;-0.0023;0.5348;0.0302;0.0310
224;0.4911;-0.4917;-0.0006;0.5120;0.0289;0.0274
225;0.4847;-0.4847;-0.0011;0.5451;0.0258;0.0234
226;0.5135;-0.5147;-0.0004;0.6316;0.0213;0.0197
227;0.5812;-0.5758;-0.0068;0.8320;0.0104;0.0399
228;0.7144;-0.7007;-0.0131;1.0301;-0.0006;0.0553
229;0.8572;-0.8473;-0.0139;1.3803;0.0008;0.0047
232;0.9344;-0.9271;-0.0097;0.1259;-0.0086;0.0167
233;0.8907;-0.8833;-0.0089;0.1409;0.0314;0.0538
234;0.8535;-0.8456;-0.0080;0.1395;0.0383;0.0638
235;0.7997;-0.7960;-0.0039;0.2025;0.0403;0.0680
236;0.7512;-0.7470;-0.0053;0.3007;0.0478;0.0661
237;0.7048;-0.7012;-0.0048;0.4472;0.0434;0.0596
238;0.6629;-0.6627;-0.0012;0.5808;0.0358;0.0575
239;0.6379;-0.6388;0.0002;0.6672;0.0336;0.0536
240;0.6177;-0.6149;-0.0042;0.7051;0.0389;0.0555
241;0.6068;-0.6020;-0.0056;0.6967;0.0473;0.0590
242;0.5977;-0.5935;-0.0055;0.6606;0.0488;0.0628
243;0.5828;-0.5787;-0.0054;0.6204;0.0542;0.0592
244;0.5597;-0.5552;-0.0057;0.5881;0.0636;0.0589
245;0.5353;-0.5308;-0.0055;0.5522;0.0669;0.0532
246;0.5119;-0.5111;-0.0025;0.5160;0.0692;0.0466
247;0.4955;-0.4936;-0.0029;0.4906;0.0734;0.0520
248;0.4892;-0.4904;0.0002;0.5320;0.0764;0.0527
249;0.5129;-0.5133;-0.0007;0.6394;0.0633;0.0531
250;0.5641;-0.5656;0.0003;0.8472;0.0623;0.0299
251;0.6891;-0.6830;-0.0062;1.0596;0.0399;0.0199
252;0.8334;-0.7936;-0.0406;1.3782;-0.0200;0.0178
