Element;X;Y;Z;XY;YZ;XZ
163;0.4771;-0.4725;-0.0058;-1.0472;0.0111;-0.0094
164;0.4831;-0.4812;-0.0024;-0.7281;-0.0187;0.0021
165;0.4880;-0.4917;0.0043;-0.5611;-0.0345;-0.0137
166;0.4735;-0.4765;0.0035;-0.4163;-0.0443;-0.0281
167;0.4721;-0.4698;-0.0020;-0.2777;-0.0476;-0.0316
168;0.4808;-0.4782;-0.0025;-0.1218;-0.0469;-0.0306
169;0.4848;-0.4834;-0.0011;0.0144;-0.0486;-0.0378
170;0.4845;-0.4830;-0.0021;0.1185;-0.0473;-0.0390
171;0.4822;-0.4811;-0.0027;0.2004;-0.0472;-0.0381
172;0.4821;-0.4807;-0.0021;0.2583;-0.0539;-0.0366
173;0.4739;-0.4711;-0.0035;0.2913;-0.0570;-0.0352
174;0.4627;-0.4593;-0.0049;0.3275;-0.0580;-0.0351
175;0.4527;-0.4510;-0.0031;0.3664;-0.0609;-0.0297
176;0.4452;-0.4444;-0.0022;0.4094;-0.0600;-0.0295
177;0.4421;-0.4411;-0.0008;0.4472;-0.0623;-0.0257
178;0.4380;-0.4382;0.0004;0.4762;-0.0662;-0.0244
179;0.4355;-0.4402;0.0044;0.5505;-0.0679;-0.0336
180;0.4543;-0.4585;0.0042;0.6564;-0.0575;-0.0518
181;0.4977;-0.5026;0.0065;0.8621;-0.0424;-0.0574
182;0.5853;-0.5872;0.0029;1.1773;-0.0072;-0.0718
183;0.6805;-0.6589;-0.0201;1.6426;0.0452;-0.0713
186;0.4784;-0.4540;-0.0267;-1.0249;0.0029;0.0101
187;0.4823;-0.4673;-0.0146;-0.7222;-0.0158;-0.0030
188;0.4835;-0.4771;-0.0071;-0.5606;-0.0191;-0.0069
189;0.4708;-0.4678;-0.0029;-0.4219;-0.0174;-0.0129
190;0.4666;-0.4661;-0.0002;-0.2792;-0.0200;-0.0172
191;0.4747;-0.4743;-0.0005;-0.1164;-0.0208;-0.0188
192;0.4776;-0.4761;-0.0017;0.0329;-0.0202;-0.0181
193;0.4785;-0.4754;-0.0032;0.1243;-0.0221;-0.0211
194;0.4804;-0.4787;-0.0026;0.2008;-0.0192;-0.0272
195;0.4799;-0.4796;-0.0010;0.2591;-0.0170;-0.0284
196;0.4717;-0.4719;-0.0007;0.2884;-0.0178;-0.0244
197;0.4609;-0.4619;0.0001;0.3240;-0.0165;-0.0247
198;0.4507;-0.4535;0.0016;0.3625;-0.0181;-0.0224
199;0.4448;-0.4474;0.0020;0.4036;-0.0226;-0.0158
200;0.4379;-0.4399;0.0020;0.4422;-0.0237;-0.0155
201;0.4302;-0.4344;0.0038;0.4730;-0.0225;-0.0231
202;0.4263;-0.4271;0.0008;0.5443;-0.0206;-0.0300
203;0.4480;-0.4458;-0.0015;0.6437;-0.0178;-0.0346
204;0.5012;-0.4956;-0.0050;0.8581;-0.0068;-0.0478
205;0.5954;-0.5760;-0.0173;1.1634;0.0130;-0.0467
206;0.6989;-0.6739;-0.0242;1.6637;0.0156;-0.0153
209;0.4830;-0.4563;-0.0285;-1.0216;-0.0092;-0.0191
210;0.4880;-0.4731;-0.0151;-0.7211;0.0147;-0.0048
211;0.4862;-0.4787;-0.0079;-0.5637;0.0221;0.0078
212;0.4709;-0.4684;-0.0027;-0.4259;0.0221;0.0147
213;0.4656;-0.4655;-0.0001;-0.2833;0.0220;0.0194
214;0.4731;-0.4746;0.0015;-0.1178;0.0219;0.0194
215;0.4763;-0.4752;-0.0011;0.0344;0.0211;0.0193
216;0.4786;-0.4760;-0.0026;0.1265;0.0210;0.0225
217;0.4796;-0.4789;-0.0015;0.2012;0.0217;0.0250
218;0.4784;-0.4765;-0.0027;0.2613;0.0233;0.0291
219;0.4718;-0.4723;-0.0004;0.2871;0.0210;0.0237
220;0.4626;-0.4655;0.0018;0.3216;0.0179;0.0234
221;0.4523;-0.4533;-0.0003;0.3625;0.0203;0.0235
222;0.4469;-0.4481;0.0002;0.4018;0.0225;0.0193
223;0.4387;-0.4411;0.0025;0.4391;0.0263;0.0190
224;0.4292;-0.4320;0.0021;0.4724;0.0269;0.0252
225;0.4246;-0.4253;0.0007;0.5395;0.0230;0.0286
226;0.4451;-0.4439;-0.0005;0.6428;0.0195;0.0243
227;0.4966;-0.4891;-0.0062;0.8662;0.0110;0.0327
228;0.5939;-0.5783;-0.0137;1.1712;0.0009;0.0433
229;0.6967;-0.6765;-0.0196;1.6680;-0.0035;0.0204
232;0.4881;-0.4831;-0.0068;-1.0400;-0.0116;0.0273
233;0.4977;-0.4916;-0.0065;-0.7229;0.0255;0.0165
234;0.4937;-0.4933;0.0004;-0.5624;0.0410;0.0272
235;0.4737;-0.4743;0.0012;-0.4169;0.0472;0.0347
236;0.4727;-0.4711;-0.0018;-0.2797;0.0508;0.0336
237;0.4794;-0.4770;-0.0026;-0.1226;0.0489;0.0336
238;0.4809;-0.4805;-0.0004;0.0214;0.0467;0.0396
239;0.4828;-0.4835;0.0003;0.1248;0.0472;0.0381
240;0.4813;-0.4796;-0.0028;0.2041;0.0522;0.0371
241;0.4807;-0.4786;-0.0029;0.2584;0.0587;0.0376
242;0.4741;-0.4716;-0.0031;0.2890;0.0581;0.0390
243;0.4660;-0.4633;-0.0038;0.3236;0.0564;0.0337
244;0.4555;-0.4534;-0.0035;0.3689;0.0608;0.0320
245;0.4472;-0.4443;-0.0038;0.4055;0.0629;0.0292
246;0.4421;-0.4409;-0.0014;0.4406;0.0662;0.0235
247;0.4371;-0.4375;0.0003;0.4745;0.0710;0.0246
248;0.4318;-0.4362;0.0039;0.5429;0.0714;0.0355
249;0.4463;-0.4490;0.0029;0.6535;0.0593;0.0491
250;0.4872;-0.4871;0.0014;0.8793;0.0526;0.0484
251;0.5823;-0.5781;-0.0028;1.1866;0.0317;0.0486
252;0.6776;-0.6550;-0.0211;1.6511;-0.0187;0.0311
301;0.7664;-0.7390;-0.0266;-1.8822;-0.0294;-0.0260
302;0.7339;-0.7325;-0.0004;-1.4785;-0.0139;-0.0333
303;0.7145;-0.7282;0.0128;-1.0709;-0.0214;-0.0469
304;0.7338;-0.7408;0.0062;-0.7694;-0.0403;-0.0508
305;0.7232;-0.7233;0.0003;-0.5263;-0.0544;-0.0429
306;0.6984;-0.7028;0.0046;-0.3456;-0.0573;-0.0382
307;0.6670;-0.6727;0.0051;-0.2061;-0.0551;-0.0389
308;0.6336;-0.6353;0.0018;-0.0831;-0.0543;-0.0353
309;0.6121;-0.6147;0.0035;0.0144;-0.0573;-0.0273
310;0.5861;-0.5914;0.0041;0.1081;-0.0603;-0.0268
311;0.5636;-0.5696;0.0049;0.2202;-0.0607;-0.0253
312;0.5495;-0.5538;0.0039;0.3221;-0.0664;-0.0184
313;0.5338;-0.5373;0.0027;0.4310;-0.0721;-0.0084
314;0.5169;-0.5224;0.0055;0.5337;-0.0770;0.0009
315;0.5016;-0.5104;0.0077;0.6626;-0.0831;0.0016
316;0.4956;-0.5051;0.0089;0.8359;-0.0816;0.0001
317;0.4945;-0.5055;0.0104;1.0323;-0.0731;-0.0002
318;0.4693;-0.4818;0.0116;1.2340;-0.0565;-0.0074
319;0.4531;-0.4706;0.0151;1.4136;-0.0290;-0.0074
320;0.4517;-0.4582;0.0062;1.5895;0.0023;-0.0251
321;0.5441;-0.5162;-0.0300;1.6666;0.0391;-0.0253
324;0.7699;-0.7346;-0.0317;-1.8719;0.0077;0.0336
325;0.7410;-0.7158;-0.0264;-1.4515;-0.0049;0.0033
326;0.7242;-0.7073;-0.0172;-1.0501;-0.0061;-0.0067
327;0.7313;-0.7298;-0.0020;-0.7633;-0.0184;-0.0135
328;0.7194;-0.7256;0.0057;-0.5288;-0.0212;-0.0281
329;0.6982;-0.7043;0.0055;-0.3457;-0.0169;-0.0251
330;0.6671;-0.6704;0.0033;-0.2084;-0.0201;-0.0199
331;0.6327;-0.6362;0.0027;-0.0639;-0.0198;-0.0181
332;0.6035;-0.6065;0.0027;0.0442;-0.0204;-0.0159
333;0.5804;-0.5872;0.0051;0.1403;-0.0238;-0.0158
334;0.5591;-0.5636;0.0028;0.2493;-0.0240;-0.0122
335;0.5409;-0.5457;0.0030;0.3472;-0.0240;-0.0151
336;0.5286;-0.5364;0.0070;0.4572;-0.0239;-0.0245
337;0.5059;-0.5154;0.0075;0.5586;-0.0248;-0.0222
338;0.4907;-0.5007;0.0085;0.6745;-0.0289;-0.0172
339;0.4891;-0.5003;0.0102;0.8430;-0.0278;-0.0172
340;0.4841;-0.4927;0.0082;1.0359;-0.0240;-0.0133
341;0.4586;-0.4590;-0.0007;1.2403;-0.0127;-0.0112
342;0.4526;-0.4385;-0.0153;1.4107;-0.0030;-0.0104
343;0.4541;-0.4284;-0.0283;1.5879;0.0070;-0.0120
344;0.5344;-0.4865;-0.0473;1.6621;0.0188;-0.0025
347;0.7695;-0.7329;-0.0322;-1.8742;-0.0128;-0.0394
348;0.7395;-0.7178;-0.0223;-1.4524;0.0027;-0.0030
349;0.7204;-0.7034;-0.0174;-1.0459;0.0030;0.0064
350;0.7291;-0.7266;-0.0020;-0.7634;0.0159;0.0109
351;0.7191;-0.7297;0.0103;-0.5322;0.0197;0.0214
352;0.6998;-0.7112;0.0108;-0.3426;0.0188;0.0285
353;0.6681;-0.6752;0.0066;-0.2007;0.0201;0.0373
354;0.6309;-0.6331;0.0010;-0.0542;0.0244;0.0302
355;0.6010;-0.6030;0.0013;0.0497;0.0261;0.0241
356;0.5803;-0.5828;0.0011;0.1420;0.0233;0.0203
357;0.5603;-0.5638;0.0021;0.2539;0.0231;0.0175
358;0.5397;-0.5463;0.0051;0.3509;0.0264;0.0168
359;0.5268;-0.5348;0.0073;0.4592;0.0274;0.0231
360;0.5051;-0.5135;0.0070;0.5567;0.0296;0.0223
361;0.4901;-0.5013;0.0091;0.6718;0.0319;0.0148
362;0.4896;-0.5006;0.0104;0.8381;0.0281;0.0114
363;0.4836;-0.4925;0.0082;1.0367;0.0269;0.0073
364;0.4585;-0.4595;-0.0002;1.2401;0.0179;0.0082
365;0.4553;-0.4441;-0.0127;1.4124;0.0067;0.0095
366;0.4518;-0.4274;-0.0271;1.5916;-0.0071;0.0107
367;0.5319;-0.4843;-0.0465;1.6674;-0.0337;0.0155
370;0.7602;-0.7358;-0.0235;-1.9058;0.0330;0.0348
371;0.7293;-0.7254;-0.0025;-1.4829;0.0207;0.0431
372;0.7091;-0.7223;0.0127;-1.0698;0.0319;0.0636
373;0.7313;-0.7376;0.0056;-0.7715;0.0472;0.0679
374;0.7219;-0.7240;0.0029;-0.5282;0.0615;0.0564
375;0.6997;-0.7049;0.0056;-0.3446;0.0602;0.0359
376;0.6713;-0.6767;0.0049;-0.2087;0.0552;0.0242
377;0.6341;-0.6393;0.0046;-0.0808;0.0554;0.0162
378;0.6059;-0.6079;0.0025;0.0197;0.0564;0.0190
379;0.5831;-0.5852;0.0013;0.1085;0.0578;0.0224
380;0.5649;-0.5705;0.0042;0.2274;0.0611;0.0197
381;0.5491;-0.5571;0.0072;0.3263;0.0681;0.0155
382;0.5319;-0.5373;0.0042;0.4373;0.0746;0.0101
383;0.5144;-0.5196;0.0045;0.5340;0.0770;0.0074
384;0.4967;-0.5049;0.0067;0.6580;0.0797;0.0022
385;0.4955;-0.5047;0.0085;0.8247;0.0826;-0.0010
386;0.4972;-0.5069;0.0095;1.0324;0.0803;-0.0010
387;0.4748;-0.4840;0.0091;1.2378;0.0638;0.0092
388;0.4651;-0.4768;0.0103;1.4122;0.0385;-0.0003
389;0.4535;-0.4539;-0.0010;1.5906;0.0103;0.0008
390;0.5404;-0.5073;-0.0343;1.6866;-0.0282;-0.0030
439;1.0592;-1.0392;-0.0242;-1.2474;-0.0365;-0.0279
