Element;X;Y;Z;XY;YZ;XZ
163;1.3286;-1.3257;-0.0043;0.4372;-0.0498;0.0698
164;1.2886;-1.2974;0.0078;0.3378;-0.0858;0.0649
165;1.2421;-1.2532;0.0122;0.3376;-0.0830;0.0289
166;1.1874;-1.1986;0.0107;0.3888;-0.0889;0.0159
167;1.1523;-1.1535;0.0011;0.4681;-0.0968;0.0422
168;1.1229;-1.1155;-0.0065;0.5952;-0.0968;0.0745
169;1.1031;-1.0962;-0.0060;0.7207;-0.1032;0.1144
170;1.0886;-1.0839;-0.0038;0.8294;-0.1107;0.1531
171;1.0726;-1.0718;-0.0010;0.9172;-0.1270;0.1720
172;1.0703;-1.0714;0.0014;0.9695;-0.1420;0.2026
173;1.0687;-1.0716;0.0020;0.9880;-0.1400;0.2163
174;1.0596;-1.0621;0.0027;0.9952;-0.1396;0.1978
175;1.0487;-1.0548;0.0044;0.9965;-0.1433;0.1799
176;1.0365;-1.0399;0.0023;0.9862;-0.1504;0.1749
177;1.0240;-1.0280;0.0015;0.9748;-0.1537;0.1805
178;1.0202;-1.0240;0.0015;0.9576;-0.1549;0.1593
179;1.0345;-1.0368;-0.0005;0.9262;-0.1505;0.1146
180;1.0652;-1.0504;-0.0191;0.8347;-0.1178;0.0555
181;1.0920;-1.0618;-0.0312;0.7317;-0.0907;0.0184
182;1.1188;-1.0762;-0.0492;0.5416;-0.0624;-0.0237
183;1.2090;-1.1224;-0.0938;0.3032;0.0022;-0.0245
186;1.3222;-1.3226;-0.0002;0.4237;-0.0304;0.0025
187;1.2923;-1.2899;-0.0041;0.3361;-0.0458;0.0197
188;1.2403;-1.2390;-0.0009;0.3470;-0.0408;0.0284
189;1.1861;-1.1886;0.0011;0.4112;-0.0392;0.0214
190;1.1497;-1.1523;0.0055;0.4971;-0.0420;0.0064
191;1.1166;-1.1244;0.0081;0.6427;-0.0394;0.0082
192;1.0960;-1.1055;0.0087;0.7733;-0.0343;0.0151
193;1.0847;-1.0914;0.0083;0.8714;-0.0393;0.0317
