Element;X;Y;Z;XY;YZ;XZ
163;0.9662;-0.9558;-0.0135;-0.0564;0.0132;0.0242
164;0.9434;-0.9372;-0.0088;-0.0738;-0.0174;-0.0642
165;0.8960;-0.8869;-0.0090;-0.1547;-0.0400;-0.1010
166;0.8357;-0.8332;-0.0040;-0.1229;-0.0563;-0.1186
167;0.7991;-0.7979;-0.0025;-0.0390;-0.0676;-0.1234
168;0.7797;-0.7791;-0.0027;0.0572;-0.0618;-0.1211
169;0.7493;-0.7470;-0.0027;0.1765;-0.0504;-0.1157
170;0.7107;-0.7078;-0.0039;0.2603;-0.0515;-0.1050
171;0.6882;-0.6799;-0.0095;0.3075;-0.0593;-0.0893
172;0.6749;-0.6686;-0.0076;0.3493;-0.0629;-0.0916
173;0.6636;-0.6592;-0.0056;0.3907;-0.0712;-0.0814
174;0.6507;-0.6440;-0.0081;0.4231;-0.0770;-0.0679
175;0.6435;-0.6353;-0.0088;0.4541;-0.0718;-0.0567
176;0.6307;-0.6265;-0.0060;0.4881;-0.0759;-0.0480
177;0.6109;-0.6095;-0.0026;0.5262;-0.0918;-0.0413
178;0.5938;-0.5952;-0.0001;0.5638;-0.0998;-0.0432
179;0.5864;-0.5947;0.0071;0.5991;-0.0945;-0.0524
180;0.6135;-0.6227;0.0082;0.5977;-0.0754;-0.0666
181;0.6760;-0.6848;0.0074;0.6107;-0.0600;-0.0738
182;0.8137;-0.8126;-0.0025;0.6672;-0.0309;-0.0433
183;1.0368;-1.0097;-0.0297;0.8941;0.0378;0.0527
186;0.9914;-0.9419;-0.0543;0.0156;0.0115;-0.0307
187;0.9604;-0.9336;-0.0288;-0.0166;0.0020;-0.0341
188;0.9025;-0.8827;-0.0209;-0.1215;-0.0176;-0.0410
189;0.8421;-0.8255;-0.0180;-0.1043;-0.0271;-0.0234
190;0.8087;-0.7997;-0.0103;-0.0190;-0.0332;-0.0280
191;0.7826;-0.7788;-0.0046;0.0943;-0.0313;-0.0235
192;0.7421;-0.7401;-0.0033;0.2178;-0.0184;-0.0243
193;0.6986;-0.6953;-0.0042;0.2876;-0.0151;-0.0348
194;0.6781;-0.6788;-0.0010;0.3242;-0.0185;-0.0401
195;0.6665;-0.6642;-0.0037;0.3624;-0.0203;-0.0509
196;0.6585;-0.6529;-0.0064;0.4047;-0.0232;-0.0510
197;0.6505;-0.6510;-0.0007;0.4379;-0.0213;-0.0545
198;0.6377;-0.6403;0.0014;0.4759;-0.0235;-0.0441
199;0.6190;-0.6210;0.0004;0.5061;-0.0274;-0.0462
200;0.6012;-0.6054;0.0030;0.5384;-0.0311;-0.0485
201;0.5843;-0.5887;0.0035;0.5864;-0.0330;-0.0484
202;0.5835;-0.5831;-0.0017;0.6272;-0.0298;-0.0411
203;0.6129;-0.6095;-0.0045;0.6423;-0.0280;-0.0251
204;0.6720;-0.6667;-0.0063;0.6497;-0.0214;-0.0241
205;0.8114;-0.8048;-0.0084;0.6855;-0.0085;-0.0565
206;1.0528;-1.0308;-0.0226;0.9097;0.0271;-0.1055
209;0.9871;-0.9333;-0.0578;0.0143;-0.0128;0.0610
210;0.9613;-0.9268;-0.0366;-0.0181;-0.0025;0.0538
211;0.9028;-0.8724;-0.0318;-0.1253;0.0114;0.0492
212;0.8442;-0.8217;-0.0234;-0.1168;0.0248;0.0229
213;0.8138;-0.8049;-0.0099;-0.0292;0.0297;0.0269
214;0.7856;-0.7848;-0.0016;0.0921;0.0274;0.0358
215;0.7391;-0.7382;-0.0023;0.2178;0.0218;0.0386
216;0.6952;-0.6905;-0.0054;0.2901;0.0199;0.0387
217;0.6763;-0.6754;-0.0025;0.3322;0.0207;0.0434
218;0.6659;-0.6629;-0.0045;0.3705;0.0235;0.0492
219;0.6582;-0.6517;-0.0073;0.4128;0.0290;0.0497
220;0.6517;-0.6477;-0.0050;0.4419;0.0267;0.0486
221;0.6377;-0.6399;0.0008;0.4818;0.0215;0.0392
222;0.6157;-0.6195;0.0023;0.5116;0.0248;0.0372
223;0.5968;-0.5998;0.0017;0.5436;0.0293;0.0346
224;0.5819;-0.5868;0.0038;0.5912;0.0288;0.0338
225;0.5816;-0.5843;0.0014;0.6340;0.0252;0.0295
226;0.6090;-0.6055;-0.0046;0.6566;0.0278;0.0226
227;0.6679;-0.6596;-0.0098;0.6619;0.0297;0.0170
228;0.8021;-0.7861;-0.0167;0.7044;0.0194;0.0536
229;1.0495;-1.0165;-0.0340;0.9276;-0.0162;0.1177
232;0.9705;-0.9503;-0.0228;-0.0456;-0.0120;-0.0882
233;0.9488;-0.9343;-0.0155;-0.0706;0.0204;-0.0016
234;0.8961;-0.8858;-0.0102;-0.1496;0.0463;0.0599
235;0.8409;-0.8383;-0.0039;-0.1304;0.0613;0.0996
236;0.8099;-0.8082;-0.0032;-0.0496;0.0710;0.1183
237;0.7838;-0.7820;-0.0038;0.0510;0.0664;0.1043
238;0.7444;-0.7458;0.0007;0.1679;0.0583;0.0925
239;0.7030;-0.7042;0.0003;0.2544;0.0591;0.0811
240;0.6842;-0.6799;-0.0053;0.3073;0.0624;0.0771
241;0.6744;-0.6711;-0.0045;0.3555;0.0649;0.0830
242;0.6622;-0.6585;-0.0051;0.3990;0.0745;0.0760
243;0.6530;-0.6472;-0.0074;0.4301;0.0768;0.0698
244;0.6433;-0.6351;-0.0086;0.4659;0.0703;0.0661
