Element;X;Y;Z;XY;YZ;XZ
163;0.3693;-0.3579;-0.0120;-0.5667;0.0153;-0.0230
164;0.3637;-0.3567;-0.0076;-0.4484;-0.0019;-0.0204
165;0.3675;-0.3678;-0.0009;-0.3521;-0.0205;-0.0344
166;0.3689;-0.3706;0.0008;-0.2258;-0.0328;-0.0520
167;0.3675;-0.3672;-0.0018;-0.1085;-0.0422;-0.0673
168;0.3626;-0.3615;-0.0023;0.0026;-0.0439;-0.0714
169;0.3530;-0.3530;-0.0009;0.1019;-0.0416;-0.0752
170;0.3377;-0.3376;-0.0008;0.1698;-0.0431;-0.0787
171;0.3224;-0.3192;-0.0043;0.2216;-0.0437;-0.0817
172;0.3123;-0.3097;-0.0035;0.2626;-0.0403;-0.0895
173;0.2999;-0.2979;-0.0028;0.3019;-0.0390;-0.0870
174;0.2914;-0.2867;-0.0054;0.3266;-0.0375;-0.0854
175;0.2850;-0.2799;-0.0061;0.3465;-0.0344;-0.0843
176;0.2841;-0.2799;-0.0052;0.3528;-0.0326;-0.0837
177;0.2840;-0.2800;-0.0048;0.3574;-0.0323;-0.0857
178;0.2831;-0.2793;-0.0047;0.3602;-0.0339;-0.0848
179;0.2843;-0.2828;-0.0025;0.3605;-0.0372;-0.0821
180;0.2848;-0.2834;-0.0024;0.3401;-0.0399;-0.0746
181;0.2814;-0.2812;-0.0013;0.3081;-0.0423;-0.0613
182;0.2778;-0.2800;0.0010;0.2497;-0.0464;-0.0456
183;0.2783;-0.2839;0.0043;0.1250;-0.0344;-0.0260
186;0.3863;-0.3595;-0.0280;-0.5552;-0.0010;-0.0184
187;0.3685;-0.3483;-0.0213;-0.4382;-0.0059;-0.0249
188;0.3691;-0.3538;-0.0166;-0.3501;-0.0109;-0.0322
189;0.3692;-0.3599;-0.0107;-0.2338;-0.0145;-0.0292
190;0.3683;-0.3648;-0.0048;-0.1214;-0.0187;-0.0318
191;0.3639;-0.3619;-0.0032;0.0010;-0.0166;-0.0289
192;0.3520;-0.3496;-0.0035;0.1111;-0.0143;-0.0285
193;0.3352;-0.3298;-0.0059;0.1706;-0.0157;-0.0325
194;0.3206;-0.3166;-0.0047;0.2150;-0.0150;-0.0363
195;0.3113;-0.3065;-0.0056;0.2581;-0.0136;-0.0398
196;0.3012;-0.2962;-0.0060;0.2981;-0.0123;-0.0418
197;0.2938;-0.2925;-0.0021;0.3227;-0.0103;-0.0404
198;0.2844;-0.2844;-0.0010;0.3414;-0.0114;-0.0366
199;0.2810;-0.2805;-0.0013;0.3446;-0.0108;-0.0357
200;0.2816;-0.2825;-0.0000;0.3509;-0.0110;-0.0360
201;0.2838;-0.2857;0.0010;0.3559;-0.0128;-0.0339
202;0.2871;-0.2887;0.0006;0.3629;-0.0131;-0.0300
203;0.2879;-0.2925;0.0036;0.3422;-0.0129;-0.0187
204;0.2821;-0.2903;0.0073;0.3131;-0.0114;-0.0158
205;0.2797;-0.2912;0.0103;0.2571;-0.0108;-0.0124
206;0.2840;-0.2975;0.0121;0.1266;-0.0087;-0.0107
209;0.3880;-0.3595;-0.0293;-0.5539;0.0022;0.0202
210;0.3690;-0.3481;-0.0221;-0.4343;0.0054;0.0240
211;0.3688;-0.3531;-0.0170;-0.3476;0.0088;0.0304
212;0.3691;-0.3604;-0.0102;-0.2337;0.0140;0.0266
213;0.3685;-0.3656;-0.0041;-0.1198;0.0183;0.0312
214;0.3639;-0.3638;-0.0013;0.0024;0.0166;0.0314
215;0.3516;-0.3489;-0.0038;0.1122;0.0142;0.0334
216;0.3348;-0.3296;-0.0055;0.1712;0.0128;0.0349
217;0.3201;-0.3160;-0.0050;0.2166;0.0129;0.0380
218;0.3110;-0.3054;-0.0063;0.2598;0.0117;0.0421
219;0.3012;-0.2965;-0.0056;0.2986;0.0125;0.0420
220;0.2943;-0.2924;-0.0028;0.3200;0.0128;0.0429
221;0.2846;-0.2842;-0.0013;0.3424;0.0114;0.0381
222;0.2806;-0.2803;-0.0012;0.3444;0.0095;0.0364
