Element;X;Y;Z;XY;YZ;XZ
163;-9.5735;-196.0025;-96.1318;-10.2418;3.5024;5.8919
164;-25.3899;-210.9173;-101.5500;-13.0646;2.1380;-13.2803
165;-28.0746;-210.3050;-122.8241;-22.3716;2.1275;-11.5923
166;-11.1037;-199.0803;-101.1971;-4.5348;2.3836;1.4804
167;-61.6278;-248.5008;-157.5292;5.3475;-2.6563;-5.0897
168;-41.0635;-225.1565;-137.9583;1.1125;-6.8643;-4.2451
169;-1.1865;-181.7791;-93.4770;10.6775;-8.6530;-5.8899
170;-1.8129;-182.6736;-88.1728;8.3216;-5.8761;-7.0415
171;-27.3904;-209.1729;-115.2710;7.8131;-7.8712;-8.1464
172;-0.6473;-180.7712;-92.7591;6.1430;-11.5143;-12.4016
173;-3.5528;-180.1710;-92.9235;16.3850;-11.8014;-11.5540
174;-23.0129;-201.3264;-108.4487;14.5385;-9.7938;-12.4964
175;-11.4711;-189.0217;-97.6040;18.8418;-9.2368;-9.6330
176;-26.3906;-198.4690;-111.4447;28.6399;-9.4933;-7.5861
177;2.4517;-168.7628;-84.2827;29.3451;-9.8588;-7.6446
178;-22.3624;-190.9922;-108.0985;33.2152;-8.4452;-8.8138
179;-20.2936;-188.3541;-104.8004;34.1226;-9.5063;-6.0749
180;-6.7147;-173.7093;-92.3742;31.9940;-8.3703;-11.5561
181;-37.7698;-202.3446;-118.4572;31.8188;-6.5095;-5.4781
182;-47.0339;-212.1770;-125.8036;24.9219;-5.1319;-1.0927
183;-67.9722;-235.5253;-149.3773;5.2623;-3.1152;-3.2768
186;23.8243;-163.7355;-89.7276;-15.8824;3.2806;-2.1675
187;6.3359;-179.1297;-96.7611;-11.5049;0.4972;9.9774
188;-5.5399;-183.0889;-96.6918;-26.8460;-4.2229;-9.9727
189;-28.5073;-213.7155;-124.7003;-2.2007;-2.3532;-7.7347
190;-37.9505;-223.4651;-126.7297;1.1067;-3.9470;-4.1268
191;-28.2514;-214.3436;-119.8015;3.0680;-4.9339;-2.4980
192;-22.6318;-207.2423;-114.8789;7.5439;-2.8886;-1.9325
193;40.7810;-142.5211;-50.9518;7.3824;-2.5161;-4.0257
194;14.1136;-166.9610;-79.0800;4.9264;-2.6038;-4.3752
195;15.5321;-165.0601;-77.2353;12.6464;-4.6141;-4.8362
196;-21.5742;-202.1903;-113.3377;13.6472;-6.1167;-2.5295
197;11.1025;-169.7165;-79.5825;14.7369;-1.9530;-1.0776
198;-6.9119;-183.7578;-94.0894;24.0192;-3.1699;-1.4321
199;-19.2913;-193.0105;-105.0784;27.5579;-3.9323;-4.4540
200;6.5913;-164.2429;-78.0030;31.4775;-3.4335;-2.3462
201;-24.6754;-195.0137;-109.9068;32.7435;-2.3332;-4.5515
202;-18.1528;-187.3744;-101.1328;34.3040;-1.9742;-2.8390
203;-18.4357;-187.8891;-100.4894;32.8006;-2.9563;-2.2564
204;-15.1305;-184.6929;-98.7532;28.2274;-3.8776;-2.3758
205;-20.0531;-186.1450;-99.3486;26.9618;-3.8933;-0.1965
206;-69.4868;-240.0564;-151.3589;1.0991;-1.2032;-1.2575
209;11.1928;-177.1859;-93.5888;-16.9548;0.9300;1.3173
210;14.5759;-171.3886;-92.3807;-9.3147;-1.5542;-9.7877
211;-20.0151;-199.0702;-115.7824;-23.8596;6.0825;11.2501
212;-30.6022;-216.7733;-131.2374;-6.1777;5.1371;5.9707
213;-44.0037;-229.5636;-140.8801;4.6695;5.0160;5.0415
214;-15.8631;-202.0084;-106.3814;2.2534;3.4052;2.8371
215;-13.0016;-197.7309;-101.8191;4.2572;4.6426;1.5500
216;43.7485;-139.4428;-48.8968;7.5772;4.4187;0.8868
217;3.4832;-179.4645;-87.6427;3.4883;4.4445;1.6830
218;9.3753;-168.9057;-77.4707;14.9507;6.0129;2.3010
219;-23.4154;-203.7742;-111.2636;13.3177;7.4992;2.9376
220;4.9104;-175.0592;-83.9633;16.4559;4.0583;3.1700
221;2.5784;-173.3969;-86.3898;25.3284;3.2731;3.2232
222;-21.2253;-194.0973;-104.1524;28.7132;2.0540;5.4239
223;-4.4586;-176.3592;-88.6245;29.3956;4.0197;4.0360
224;-1.4306;-170.7456;-83.9135;33.6545;5.1649;4.6560
