Element;X;Y;Z;XY;YZ;XZ
163;-573.6775;-770.3077;-681.2938;17.1283;-14.7007;1.6276
164;-39.3479;-238.0238;-147.0663;11.2313;-11.4512;7.7209
165;-32.7170;-234.3764;-131.7838;1.9549;-2.3847;5.5821
166;-104.2427;-305.6169;-207.6338;5.4249;2.3124;-5.7645
167;7.8756;-193.4106;-99.5842;0.6109;1.6105;-5.8728
168;4.8473;-194.8094;-104.3197;8.2430;0.9529;-6.8492
169;-45.6604;-245.8772;-144.4343;0.6799;-0.3811;-5.9684
170;-99.4674;-298.9140;-194.7241;-4.7006;-1.9351;-4.9562
171;-33.1282;-231.5454;-129.3902;2.0596;-1.3439;-9.0238
172;6.6704;-188.4321;-88.5252;-17.1697;0.0996;-7.9390
173;-21.5252;-218.2747;-106.1625;-7.7834;1.5391;-4.3130
174;-56.5728;-250.8720;-143.8798;-7.0104;-2.8582;-9.4512
175;-22.4032;-217.5224;-120.4863;-11.1044;-7.8214;-2.1906
176;-54.4571;-249.6429;-152.6004;-6.7933;-2.2827;-6.9873
177;20.2146;-173.4564;-75.6546;-14.8927;-1.2475;-4.8202
178;-86.8898;-280.9535;-183.8616;-10.0064;-7.3784;-6.6330
179;15.9661;-175.9147;-84.3959;-15.0848;-8.9543;1.4843
180;-34.8618;-225.1424;-120.8558;-23.4788;-9.9040;-5.8993
181;-115.4577;-267.5904;-188.2626;-61.4160;-13.9983;-14.3153
182;-114.4329;-154.7028;-112.2340;-88.1500;-34.6782;24.9497
183;-352.9523;-411.7493;-368.0136;-95.2696;9.4196;-9.1833
186;-571.5665;-759.2402;-680.2510;35.1751;8.6679;4.1313
187;83.1367;-115.6208;-44.3423;8.1977;-0.4040;1.2733
188;-37.2755;-237.7198;-159.1497;-1.6512;-0.4043;2.1669
189;-132.0029;-333.5946;-243.3629;-3.0557;-0.4568;-1.3347
190;47.5135;-153.7492;-58.3572;4.2201;-1.0240;1.3946
191;-76.7029;-275.8528;-177.9263;11.1086;-4.2678;-4.5914
192;1.2347;-198.8324;-101.9957;4.7808;-4.2791;-1.0424
193;-56.3870;-255.2419;-152.0497;-9.3306;-0.8093;-2.1157
194;-46.6985;-245.0988;-135.0323;-2.1505;5.0427;-1.4480
195;-0.4204;-197.2894;-92.0204;-11.4003;1.9177;-2.4777
196;-42.0029;-238.6147;-135.8381;-10.2663;-3.2605;-3.7078
197;-18.3079;-215.4947;-117.5386;-4.6268;-2.2115;-2.0567
198;-3.2487;-199.3201;-106.9872;-7.3018;-2.7355;-3.5220
199;-18.1091;-212.7160;-125.1715;-6.7051;-2.7339;-8.3989
200;37.2382;-157.4375;-70.1069;-3.4438;-4.8062;-3.5923
201;-63.3763;-258.2406;-168.0812;-6.0173;-6.4274;-0.2548
202;40.3809;-153.9771;-54.7531;-12.3189;-2.6475;-1.3175
203;-28.6363;-223.1739;-133.5933;-13.4794;6.5321;2.5203
204;36.0670;-140.4170;-60.5354;-45.0865;4.2511;9.3516
205;-152.0983;-235.8763;-186.5596;-91.7066;2.1778;-1.2155
206;-172.6841;-231.0182;-188.3607;-95.6010;1.6068;-8.7005
209;-643.1517;-826.9536;-775.6227;34.2751;-4.7540;-3.6431
210;-7.6329;-201.4700;-135.5749;20.4457;6.2798;-6.0703
211;-30.6712;-232.4100;-140.6630;-0.2744;1.4768;-1.9253
212;-107.2052;-309.0534;-215.2099;-2.3384;0.1747;-0.6713
213;4.2865;-197.0662;-95.2996;-2.0251;2.7985;3.9183
214;-56.1869;-254.8864;-155.7500;13.3505;5.0533;5.8031
215;-11.1091;-210.8833;-108.5601;7.6328;3.3395;0.2879
216;-55.6734;-253.9406;-146.8395;-10.9695;2.7015;-1.1774
217;-18.7157;-216.1543;-109.7564;-9.6299;2.9860;7.3606
218;-44.1993;-241.6701;-139.8257;-7.5861;5.1477;3.7228
219;7.2212;-188.6841;-94.9045;-13.2764;3.5063;0.4313
220;-14.5038;-210.2759;-116.4318;-11.9954;-1.9281;1.8469
221;-24.5450;-219.6082;-125.4841;-12.7473;0.1553;2.4983
222;-2.5592;-198.4317;-108.0087;-3.0586;-0.8891;1.6180
223;44.1957;-151.3646;-54.2478;-2.5491;-3.2877;-2.2054
224;-46.6726;-242.0483;-147.5000;-6.6096;-2.1360;-0.1653
225;36.4044;-157.4673;-60.5876;-11.0234;-0.0179;2.5252
226;-60.8931;-254.4719;-145.2565;-15.9944;0.2459;5.9472
227;-95.7863;-276.0570;-171.0798;-40.7507;7.5680;5.8767
228;-129.6525;-220.2338;-178.6645;-87.6936;3.5620;16.1757
229;-25.3439;-79.6645;-64.6628;-96.3526;-2.7490;2.6310
232;-793.6132;-989.8365;-893.7783;11.7437;19.8780;-6.9264
233;37.2722;-157.3960;-66.7715;23.8213;12.1503;-2.0760
234;-63.6964;-264.6803;-169.8872;4.9205;8.3416;2.2551
235;-86.1765;-287.7531;-179.8862;3.4993;3.4898;2.9857
236;3.1172;-197.8044;-93.6936;-3.9321;2.8037;9.0810
237;-26.6609;-225.5835;-117.4856;11.6347;0.6885;9.2774
238;-121.7145;-320.4258;-212.9689;9.4928;-1.3906;8.7502
239;28.0534;-170.5740;-70.9478;-10.8499;-1.6485;3.8414
240;-31.7003;-228.8010;-134.2076;-11.6395;2.1843;9.4001
241;-1.9797;-197.9283;-101.9734;-12.4364;3.6843;10.1941
242;12.6531;-184.4605;-82.9154;-7.6842;0.3020;6.2589
243;-60.6942;-253.7832;-154.3295;-19.3268;0.6985;8.0640
