Element;X;Y;Z;XY;YZ;XZ
163;0.5893;-0.5791;-0.0114;-1.0801;-0.0244;-0.0083
164;0.4682;-0.4660;-0.0037;-1.0537;-0.0519;0.0110
165;0.4094;-0.4118;0.0020;-0.9915;-0.0780;-0.0144
166;0.4211;-0.4185;-0.0035;-0.9065;-0.0827;-0.0256
167;0.4593;-0.4562;-0.0042;-0.7857;-0.0880;-0.0179
168;0.4893;-0.4870;-0.0016;-0.6559;-0.0944;-0.0152
169;0.5131;-0.5110;-0.0021;-0.4974;-0.0906;-0.0202
170;0.5248;-0.5192;-0.0050;-0.3521;-0.0912;-0.0168
171;0.5396;-0.5401;-0.0003;-0.2227;-0.0956;-0.0132
172;0.5520;-0.5518;-0.0003;-0.1011;-0.1044;-0.0154
173;0.5492;-0.5477;-0.0022;0.0025;-0.1141;-0.0156
174;0.5373;-0.5380;-0.0000;0.0877;-0.1195;-0.0105
175;0.5244;-0.5263;0.0016;0.1608;-0.1195;-0.0176
176;0.5161;-0.5182;0.0020;0.2285;-0.1194;-0.0259
177;0.5023;-0.5079;0.0055;0.3138;-0.1185;-0.0285
178;0.4980;-0.5049;0.0065;0.4250;-0.1161;-0.0362
179;0.5131;-0.5211;0.0073;0.5599;-0.1041;-0.0666
180;0.5485;-0.5544;0.0053;0.6905;-0.0899;-0.0930
181;0.6472;-0.6270;-0.0188;0.7887;-0.0758;-0.1210
182;0.8333;-0.7944;-0.0396;0.9730;-0.0336;-0.0949
183;1.0177;-1.0044;-0.0183;1.4995;-0.0190;0.0556
186;0.6086;-0.5828;-0.0290;-1.1049;-0.0015;-0.0075
187;0.4555;-0.4352;-0.0205;-1.0633;-0.0304;-0.0236
188;0.3902;-0.3799;-0.0103;-0.9974;-0.0288;-0.0051
189;0.4052;-0.4048;-0.0006;-0.9107;-0.0324;-0.0159
190;0.4457;-0.4502;0.0037;-0.7883;-0.0320;-0.0105
191;0.4718;-0.4772;0.0054;-0.6613;-0.0341;-0.0162
192;0.4961;-0.5016;0.0052;-0.4916;-0.0355;-0.0211
193;0.5124;-0.5186;0.0051;-0.3332;-0.0411;-0.0213
194;0.5269;-0.5313;0.0036;-0.2001;-0.0422;-0.0221
195;0.5384;-0.5449;0.0057;-0.0786;-0.0431;-0.0201
196;0.5403;-0.5466;0.0055;0.0135;-0.0462;-0.0265
197;0.5301;-0.5328;0.0027;0.1067;-0.0453;-0.0226
198;0.5166;-0.5184;0.0017;0.1650;-0.0459;-0.0172
199;0.5055;-0.5063;0.0010;0.2253;-0.0520;-0.0187
200;0.4944;-0.4967;0.0025;0.2935;-0.0509;-0.0286
201;0.4891;-0.4971;0.0079;0.3977;-0.0423;-0.0273
202;0.4960;-0.5050;0.0091;0.5282;-0.0307;-0.0381
203;0.5224;-0.5282;0.0056;0.6941;-0.0226;-0.0400
204;0.6158;-0.6129;-0.0015;0.8363;-0.0265;-0.0456
205;0.8095;-0.7860;-0.0237;1.0232;-0.0182;-0.0502
206;1.0211;-0.9915;-0.0329;1.5080;0.0108;-0.0418
209;0.6193;-0.5872;-0.0339;-1.0928;0.0005;0.0163
210;0.4567;-0.4394;-0.0173;-1.0673;0.0167;0.0138
211;0.3839;-0.3779;-0.0061;-1.0040;0.0270;0.0038
212;0.4021;-0.4018;-0.0008;-0.9123;0.0459;0.0172
213;0.4428;-0.4450;0.0016;-0.7891;0.0444;0.0077
214;0.4700;-0.4771;0.0068;-0.6638;0.0370;0.0114
215;0.4946;-0.5029;0.0077;-0.4910;0.0353;0.0147
216;0.5110;-0.5183;0.0063;-0.3263;0.0390;0.0141
217;0.5271;-0.5317;0.0035;-0.1973;0.0388;0.0133
218;0.5396;-0.5448;0.0044;-0.0768;0.0419;0.0133
219;0.5420;-0.5475;0.0045;0.0130;0.0448;0.0208
220;0.5323;-0.5347;0.0020;0.1038;0.0424;0.0195
221;0.5173;-0.5184;0.0006;0.1641;0.0399;0.0199
222;0.5051;-0.5053;0.0003;0.2290;0.0447;0.0205
223;0.4929;-0.4967;0.0040;0.2951;0.0429;0.0253
224;0.4880;-0.4976;0.0098;0.3946;0.0321;0.0305
225;0.4957;-0.5062;0.0097;0.5255;0.0237;0.0295
226;0.5207;-0.5212;0.0009;0.6919;0.0148;0.0317
227;0.6143;-0.6040;-0.0086;0.8448;0.0168;0.0263
228;0.8027;-0.7777;-0.0234;1.0406;0.0231;0.0307
229;1.0172;-0.9790;-0.0437;1.5091;0.0119;0.0306
232;0.6073;-0.5985;-0.0097;-1.0739;0.0115;0.0068
233;0.4710;-0.4720;-0.0006;-1.0614;0.0466;-0.0020
234;0.4089;-0.4071;-0.0018;-0.9938;0.0793;0.0122
235;0.4164;-0.4147;-0.0022;-0.9067;0.0872;0.0142
236;0.4503;-0.4517;0.0007;-0.7905;0.0945;0.0196
237;0.4859;-0.4853;0.0004;-0.6569;0.0950;0.0191
238;0.5123;-0.5124;0.0005;-0.4940;0.0896;0.0175
239;0.5249;-0.5225;-0.0014;-0.3425;0.0912;0.0173
240;0.5421;-0.5415;-0.0008;-0.2183;0.0975;0.0214
241;0.5542;-0.5496;-0.0044;-0.0982;0.1079;0.0195
242;0.5536;-0.5508;-0.0037;0.0061;0.1160;0.0167
243;0.5428;-0.5429;-0.0005;0.0930;0.1159;0.0172
244;0.5243;-0.5236;-0.0011;0.1565;0.1135;0.0273
245;0.5147;-0.5161;0.0008;0.2373;0.1157;0.0281
246;0.5019;-0.5065;0.0047;0.3217;0.1183;0.0294
247;0.4979;-0.5031;0.0050;0.4174;0.1136;0.0398
248;0.5141;-0.5171;0.0027;0.5484;0.1000;0.0510
249;0.5407;-0.5423;0.0012;0.6896;0.0845;0.0709
250;0.6325;-0.6182;-0.0139;0.8255;0.0616;0.1084
251;0.8145;-0.7941;-0.0211;1.0263;0.0223;0.1132
252;1.0008;-1.0123;0.0066;1.5201;-0.0167;0.0636
301;0.8171;-0.7876;-0.0294;-0.9754;-0.0186;0.0275
302;0.7771;-0.7666;-0.0111;-0.9374;-0.0500;0.0225
303;0.7544;-0.7619;0.0079;-0.8528;-0.0752;-0.0243
304;0.7350;-0.7383;0.0035;-0.7890;-0.0893;-0.0589
305;0.7200;-0.7200;0.0007;-0.7182;-0.0926;-0.0621
306;0.7086;-0.7171;0.0077;-0.6368;-0.0855;-0.0565
307;0.7098;-0.7165;0.0060;-0.5456;-0.0792;-0.0397
308;0.7139;-0.7204;0.0050;-0.4261;-0.0810;-0.0258
309;0.7128;-0.7206;0.0072;-0.3041;-0.0882;-0.0154
310;0.7063;-0.7157;0.0079;-0.1660;-0.0926;-0.0088
311;0.6891;-0.6957;0.0056;-0.0298;-0.0981;0.0128
312;0.6808;-0.6831;0.0016;0.1038;-0.1104;0.0294
313;0.6759;-0.6752;-0.0017;0.2590;-0.1171;0.0457
314;0.6640;-0.6618;-0.0019;0.4213;-0.1208;0.0617
315;0.6518;-0.6574;0.0059;0.5787;-0.1170;0.0588
316;0.6472;-0.6570;0.0102;0.7221;-0.0998;0.0347
