Element;X;Y;Z;XY;YZ;XZ
163;-215.8093;-388.9230;-313.7415;32.0484;11.5083;36.2120
164;-447.2399;-624.7457;-571.3746;31.8209;27.7547;5.0187
165;-153.1512;-320.1710;-251.0925;53.6361;16.9737;0.2639
166;-59.4637;-227.2912;-156.0108;53.7405;15.0117;0.4789
167;40.8863;-155.6085;-56.0220;12.5351;18.4755;7.5310
168;-39.0287;-235.7929;-133.1566;6.2523;19.7338;-3.8131
169;-34.4832;-227.7679;-129.5806;-3.3019;22.8462;-11.0383
170;-46.4815;-240.3497;-144.5521;-8.6817;19.6105;-10.5874
171;13.0588;-183.6672;-88.8326;-4.3307;14.4440;-9.0810
172;-9.4734;-205.7386;-107.9773;-10.2081;5.8260;-13.8809
173;83.6361;-110.1243;-14.9151;-20.3261;-0.0776;-6.1155
174;102.0124;-93.0388;-9.2181;-23.0202;1.2510;-4.3863
175;84.2564;-109.6397;-24.4689;-24.2592;2.0604;-3.9380
176;118.3763;-74.8139;10.7484;-25.9130;-2.0310;0.2953
177;68.2297;-128.5572;-55.9462;-7.0992;-10.9220;-0.1264
178;24.3138;-171.0150;-104.8669;-10.7373;-7.1182;1.1225
179;83.1753;-111.9188;-45.3529;-10.8181;-2.1895;5.0795
180;11.0348;-181.7204;-108.8724;-22.3329;-1.1448;5.3308
181;4.7300;-185.5639;-114.6977;-17.3775;0.9362;22.1968
182;-88.3081;-256.7122;-189.3143;-41.9925;-5.4782;34.9588
183;-87.6694;-217.7403;-161.6130;-67.9226;-0.2403;36.4641
186;-182.5127;-337.5309;-287.9854;56.4719;10.5194;25.2695
187;-153.4982;-328.5410;-289.9556;32.4146;14.0839;21.6465
188;-225.6912;-387.4293;-329.1991;58.0734;8.7263;7.0017
189;76.5795;-100.8499;-26.0511;47.5482;3.2416;1.4646
190;8.9916;-188.1877;-109.2639;17.1967;0.3904;-4.9416
191;21.7457;-176.5536;-87.2777;1.9719;0.8398;-4.5721
192;-23.2211;-222.2070;-130.6884;-3.0565;-2.5833;-0.9600
193;-11.4184;-208.1209;-126.8096;-6.5770;-4.4315;-8.6016
194;-1.9005;-199.8070;-104.8837;-2.7643;-5.1495;-11.7769
195;-12.6601;-210.6949;-122.9479;-8.2624;-2.0931;-6.0309
196;37.5629;-159.4943;-79.7188;-10.2380;-1.3202;-9.1751
197;10.9304;-185.5176;-101.2532;-14.5110;-5.7329;-8.1951
198;16.5751;-178.2480;-97.8778;-14.1252;-7.5592;-5.6763
199;-88.6264;-285.8062;-205.8721;-9.6828;-7.4911;-0.1862
200;-30.8677;-229.2545;-140.6076;0.5419;-2.0318;10.3250
201;-54.4767;-252.1410;-156.9195;2.7523;2.7365;12.7653
202;-2.5938;-198.1397;-103.8472;-4.5047;3.5893;17.2054
203;-99.4141;-294.2497;-200.2570;-4.4885;4.6078;14.4145
204;28.0497;-162.9711;-64.0004;-26.7396;-2.7860;10.1948
205;-73.8332;-255.2678;-140.9503;-37.5304;-1.2313;19.5703
206;134.4184;-20.5290;77.6784;-63.2886;1.6517;7.3952
209;-142.9881;-245.8239;-265.1229;75.5309;-6.5957;-7.7212
210;-345.0738;-520.3863;-453.2913;36.5752;-14.0374;-27.2062
211;-133.8811;-306.6078;-224.0396;49.5023;-8.5251;-11.3617
212;-36.4518;-214.0622;-133.9901;47.7764;-3.1552;2.0006
213;82.6032;-114.8550;-27.3869;18.9451;-3.1010;7.0780
214;-14.9730;-212.9424;-130.9670;1.6437;-4.0892;4.5666
215;17.2775;-180.8454;-89.2768;-3.6527;0.4200;5.5762
216;-16.5635;-212.0640;-106.1052;-7.1417;4.2849;11.1636
217;10.6117;-185.5983;-103.5719;-4.1961;5.3772;14.2541
218;50.9596;-146.7361;-68.4599;-8.4340;2.1974;4.2730
219;-4.0862;-202.3302;-106.1761;-9.2678;-0.4001;10.0028
220;-29.8600;-226.0466;-132.4696;-12.0069;0.3081;15.5237
221;-30.2989;-224.0735;-137.0493;-15.7523;1.8755;15.2559
222;-13.6502;-209.5444;-123.8959;-13.4094;4.8906;12.2973
223;-27.9627;-226.5874;-133.0686;5.4046;-1.4474;9.1744
224;-34.6047;-232.6700;-131.3076;2.1170;-6.7646;4.5238
225;-14.4955;-212.3718;-106.9720;-1.0596;-8.7367;4.5273
226;-104.9763;-300.5310;-202.3357;-13.8809;-4.6027;12.0075
227;-7.1393;-201.9650;-104.1040;-20.7461;7.4926;0.6145
228;-263.6532;-439.4778;-323.2811;-46.3645;6.7813;-4.1757
229;104.0079;-44.9904;40.2524;-67.5436;2.4082;5.9168
232;-58.4529;-209.2630;-121.5544;51.8547;-8.3983;-41.2591
233;-275.5227;-456.2034;-421.0511;20.2129;-23.2036;4.3050
234;-206.6636;-379.0757;-322.5919;45.4006;-14.2907;13.7209
235;78.2056;-102.4601;-14.7125;41.9552;-15.1840;2.6195
236;7.5259;-190.6085;-86.0288;13.9706;-11.8735;6.9095
237;-20.0193;-218.6091;-107.8646;1.4193;-7.8720;12.3642
238;-84.9981;-283.5837;-181.8967;-0.9495;-4.5463;10.6075
239;29.6959;-166.8637;-89.8839;-1.5035;-4.2120;11.1980
240;16.4757;-181.5868;-77.8749;-2.4641;-5.9130;1.4667
241;-9.2586;-208.7078;-103.8070;0.6297;-3.2029;9.7729
242;158.2416;-39.9435;41.2441;-7.5820;-4.2220;9.0299
243;142.6562;-55.3446;30.3027;-14.2194;-6.4538;3.3124
244;90.2206;-104.0768;-11.2024;-24.4380;-4.3285;7.3968
245;80.1542;-116.1668;-14.3473;-18.3964;-8.0904;5.9451
246;60.7745;-137.2063;-35.8695;-12.8853;-3.1919;7.3947
247;-8.6089;-204.8412;-108.7379;-14.3765;4.5951;12.4192
248;78.9525;-116.8603;-17.7298;-19.1829;5.8777;5.5643
249;-66.0907;-259.4979;-148.9957;-24.3399;-2.8284;1.0715
250;1.8352;-175.9098;-69.9292;-39.1527;9.8254;-18.4217
251;-141.5344;-296.5721;-197.4101;-41.6689;41.4942;-24.1860
252;-11.0162;-165.1600;-64.7522;-62.3373;1.6371;-4.1917
301;-142.3818;-327.3160;-223.3125;31.4583;-22.8003;-0.2301
