163; 0.7466
164; 0.6222
165; 0.5368
166; 0.4904
167; 0.4643
168; 0.4484
169; 0.4392
170; 0.4404
171; 0.4413
172; 0.4423
173; 0.4391
174; 0.4317
175; 0.4233
176; 0.4149
177; 0.4105
178; 0.4090
179; 0.4062
180; 0.3910
181; 0.3678
182; 0.3294
183; 0.2808
186; 0.7521
187; 0.6237
188; 0.5253
189; 0.4772
190; 0.4535
191; 0.4398
192; 0.4271
193; 0.4254
194; 0.4274
195; 0.4279
196; 0.4255
197; 0.4226
198; 0.4137
199; 0.4089
200; 0.4078
201; 0.4058
202; 0.4054
203; 0.3930
204; 0.3744
205; 0.3382
206; 0.3018
209; 0.7481
210; 0.6245
211; 0.5235
212; 0.4768
213; 0.4523
214; 0.4381
215; 0.4271
216; 0.4251
217; 0.4258
218; 0.4268
219; 0.4264
220; 0.4226
221; 0.4134
222; 0.4089
223; 0.4079
224; 0.4071
225; 0.4064
226; 0.3928
227; 0.3738
228; 0.3379
229; 0.3024
232; 0.7394
233; 0.6230
234; 0.5377
235; 0.4887
236; 0.4604
237; 0.4451
238; 0.4387
239; 0.4395
240; 0.4396
241; 0.4405
242; 0.4379
243; 0.4317
244; 0.4229
245; 0.4156
246; 0.4121
247; 0.4101
248; 0.4066
249; 0.3912
250; 0.3670
251; 0.3285
252; 0.2813
301; 0.7536
302; 0.7463
303; 0.7087
304; 0.6672
305; 0.6312
306; 0.6156
307; 0.6039
308; 0.5775
309; 0.5511
310; 0.5295
311; 0.5071
312; 0.4867
313; 0.4605
314; 0.4399
315; 0.4196
316; 0.3947
317; 0.3648
318; 0.3286
319; 0.2804
320; 0.2290
321; 0.1698
324; 0.7480
325; 0.7364
326; 0.6891
327; 0.6570
328; 0.6178
329; 0.5996
330; 0.5955
331; 0.5746
332; 0.5499
333; 0.5250
334; 0.5032
335; 0.4827
336; 0.4545
337; 0.4366
338; 0.4181
339; 0.3939
340; 0.3667
341; 0.3367
342; 0.2916
343; 0.2455
344; 0.1894
347; 0.7476
348; 0.7370
349; 0.6891
350; 0.6567
351; 0.6164
352; 0.5972
353; 0.5930
354; 0.5742
355; 0.5506
356; 0.5246
357; 0.5032
358; 0.4825
359; 0.4543
360; 0.4369
361; 0.4196
362; 0.3938
363; 0.3665
364; 0.3370
365; 0.2915
366; 0.2450
367; 0.1896
370; 0.7578
371; 0.7491
372; 0.7115
373; 0.6662
374; 0.6281
375; 0.6077
376; 0.5973
377; 0.5765
378; 0.5535
379; 0.5288
380; 0.5054
381; 0.4872
382; 0.4612
383; 0.4415
384; 0.4217
385; 0.3945
386; 0.3647
387; 0.3294
388; 0.2810
389; 0.2302
390; 0.1701
439; 0.7158
440; 0.7724
441; 0.7981
442; 0.8015
443; 0.7902
444; 0.7693
445; 0.7333
446; 0.7083
447; 0.6696
448; 0.6184
449; 0.5837
450; 0.5493
451; 0.5114
452; 0.4724
453; 0.4259
454; 0.3783
455; 0.3209
456; 0.2606
457; 0.2085
458; 0.1573
459; 0.1033
462; 0.6900
463; 0.7614
464; 0.7794
465; 0.7861
466; 0.7760
467; 0.7568
468; 0.7278
469; 0.7021
470; 0.6660
471; 0.6211
472; 0.5853
473; 0.5525
474; 0.5197
475; 0.4769
476; 0.4277
477; 0.3783
478; 0.3246
479; 0.2725
480; 0.2232
481; 0.1718
482; 0.1188
485; 0.6924
486; 0.7630
487; 0.7786
488; 0.7846
489; 0.7741
490; 0.7574
491; 0.7274
492; 0.7001
493; 0.6638
494; 0.6216
495; 0.5854
496; 0.5524
497; 0.5204
498; 0.4770
499; 0.4275
500; 0.3778
501; 0.3247
502; 0.2723
503; 0.2232
504; 0.1719
505; 0.1190
508; 0.7183
509; 0.7709
510; 0.7978
511; 0.7983
512; 0.7890
513; 0.7693
514; 0.7329
515; 0.7023
516; 0.6620
517; 0.6189
518; 0.5856
519; 0.5504
520; 0.5138
521; 0.4736
522; 0.4247
523; 0.3776
524; 0.3213
525; 0.2606
526; 0.2097
527; 0.1581
528; 0.1035
577; 0.5889
578; 0.7416
579; 0.8435
580; 0.8901
581; 0.9131
582; 0.8958
583; 0.8632
584; 0.8264
585; 0.7785
586; 0.7316
587; 0.6751
588; 0.6118
589; 0.5506
590; 0.4843
591; 0.4193
592; 0.3548
593; 0.2850
594; 0.2198
595; 0.1647
596; 0.1141
597; 0.0675
600; 0.5498
601; 0.7107
602; 0.8209
603; 0.8754
604; 0.9058
605; 0.8954
606; 0.8686
607; 0.8278
608; 0.7775
609; 0.7350
610; 0.6782
611; 0.6158
612; 0.5575
613; 0.4936
614; 0.4266
615; 0.3611
616; 0.2936
617; 0.2313
618; 0.1776
619; 0.1266
620; 0.0800
623; 0.5506
624; 0.7155
625; 0.8219
