Element;X;Y;Z;XY;YZ;XZ
163;1.2080;-1.2081;-0.0077;0.0337;-0.1413;0.0481
164;1.1829;-1.1682;-0.0131;-0.2787;-0.1664;0.0316
165;1.2328;-1.2454;0.0093;-0.5492;-0.1590;-0.0156
166;1.2088;-1.2181;0.0081;-0.7624;-0.1721;-0.0847
167;1.1912;-1.1968;0.0041;-0.7666;-0.1634;-0.0853
168;1.1720;-1.1733;-0.0014;-0.7141;-0.1468;-0.0603
169;1.1538;-1.1572;0.0015;-0.6329;-0.1362;-0.0044
170;1.1334;-1.1379;0.0038;-0.5300;-0.1281;0.0507
171;1.1355;-1.1370;0.0009;-0.4346;-0.1184;0.0962
172;1.1433;-1.1401;-0.0028;-0.3532;-0.1115;0.1342
173;1.1462;-1.1430;-0.0036;-0.2750;-0.1094;0.1789
174;1.1373;-1.1320;-0.0060;-0.2066;-0.1203;0.1790
175;1.1247;-1.1157;-0.0079;-0.1532;-0.1348;0.1654
176;1.1258;-1.1246;-0.0011;-0.1031;-0.1450;0.1500
177;1.1342;-1.1443;0.0100;-0.0507;-0.1517;0.1281
178;1.1571;-1.1615;0.0057;0.0067;-0.1473;0.1125
179;1.2020;-1.2013;-0.0008;0.0461;-0.1225;0.0905
180;1.2688;-1.2559;-0.0131;0.0571;-0.0818;0.0537
181;1.3432;-1.2720;-0.0717;0.0087;-0.0582;0.0076
182;1.4359;-1.3276;-0.1073;-0.1301;-0.0395;0.0052
183;1.6081;-1.5137;-0.0987;-0.2001;0.0130;0.0659
186;1.1914;-1.2454;0.0453;0.0171;-0.0244;0.0534
187;1.1413;-1.1761;0.0379;-0.2891;-0.0606;0.0265
188;1.1961;-1.2349;0.0345;-0.5567;-0.0531;0.0417
189;1.1728;-1.2151;0.0418;-0.7630;-0.0675;0.0202
190;1.1590;-1.2040;0.0437;-0.7732;-0.0645;0.0112
191;1.1453;-1.1962;0.0500;-0.7274;-0.0486;0.0160
192;1.1317;-1.1781;0.0449;-0.6324;-0.0449;0.0138
193;1.1137;-1.1474;0.0331;-0.5036;-0.0482;0.0072
194;1.1115;-1.1433;0.0310;-0.3969;-0.0513;0.0105
195;1.1229;-1.1536;0.0309;-0.3091;-0.0506;-0.0052
196;1.1240;-1.1529;0.0263;-0.2384;-0.0485;-0.0159
197;1.1069;-1.1282;0.0230;-0.1597;-0.0432;-0.0020
198;1.0936;-1.1152;0.0209;-0.0935;-0.0386;0.0145
199;1.0962;-1.1131;0.0162;-0.0379;-0.0411;0.0306
200;1.1032;-1.1183;0.0140;0.0247;-0.0407;0.0330
201;1.1167;-1.1287;0.0140;0.0835;-0.0356;0.0171
202;1.1538;-1.1541;-0.0007;0.1056;-0.0179;-0.0359
203;1.2282;-1.1979;-0.0291;0.1090;-0.0006;-0.0502
204;1.3097;-1.2561;-0.0553;0.0692;-0.0005;-0.0698
205;1.3990;-1.3076;-0.0922;-0.0695;0.0042;-0.0718
206;1.5882;-1.4659;-0.1256;-0.1618;0.0168;-0.0621
209;1.1960;-1.2447;0.0399;0.0155;0.0370;-0.0343
