Element;X;Y;Z;XY;YZ;XZ
163;-17.7966;-210.3050;-130.4661;-0.2667;1.6556;-7.3857
164;44.6221;-145.8959;-54.5409;6.8737;9.2713;-3.7128
165;33.6323;-151.6881;-62.0922;-2.2367;7.8399;11.1632
166;-30.4189;-200.1348;-117.1227;26.9923;9.9411;4.4207
167;-68.5498;-235.6236;-115.2063;16.3128;13.3199;-3.6328
168;-54.4835;-219.1468;-107.1400;17.4110;10.6085;-11.0157
169;-70.2604;-237.7883;-132.9563;-0.5560;1.9789;-5.5372
170;-31.4215;-212.4035;-105.6242;6.4345;6.8240;-6.8867
171;-24.9445;-208.4520;-107.6185;2.9423;5.4135;-6.7927
172;-18.8798;-202.9419;-112.2688;1.2738;-1.9676;-10.2622
173;-29.8381;-212.6212;-122.5876;7.4757;-5.2162;-12.5627
174;-35.1270;-215.3485;-122.7851;3.5858;-10.0219;-13.0255
175;-19.5075;-199.8237;-106.8554;2.7013;-11.5457;-14.8035
176;-26.8626;-205.0876;-113.5688;8.3663;-14.5597;-14.6901
177;-25.5113;-200.7016;-111.6581;14.7092;-16.8052;-13.7141
178;-3.4012;-174.6086;-87.6448;20.5543;-15.6216;-13.6656
179;-39.2724;-202.7057;-117.3841;28.2995;-14.8091;-13.1637
180;-34.5441;-190.3376;-112.5925;35.0707;-16.5631;-10.5930
181;-21.3345;-177.5690;-100.8678;26.2066;-13.4333;-11.4737
182;-71.1855;-222.2511;-143.7227;25.0820;-9.1333;-6.8601
183;-74.9349;-229.2891;-148.2480;6.3233;-7.7289;-5.0560
186;42.8533;-152.2713;-58.1150;-10.0028;-0.1731;-4.6843
187;59.5552;-131.8535;-42.1836;5.6800;3.0319;-0.0389
188;-63.7735;-245.3737;-149.8749;5.9527;8.7893;15.5277
189;24.7882;-149.4922;-39.6009;14.8071;-7.8345;5.0199
190;-32.5645;-206.0257;-111.0519;3.4228;-9.3010;5.7676
191;-22.2859;-196.3720;-86.8964;-2.8788;1.9265;2.0322
192;-37.2740;-212.0531;-109.4487;-6.5132;0.0574;-3.2308
193;-21.8453;-201.1845;-99.5610;-1.5783;-5.7678;-3.9083
194;-10.0229;-188.9101;-93.1126;-0.4741;-6.0875;-6.1800
195;-58.3283;-238.3733;-142.3530;-2.0329;-3.5894;-8.2509
196;-11.1580;-193.6033;-98.2179;3.3679;-5.0759;-7.3913
197;-1.5743;-184.4433;-88.4966;2.4502;-5.1362;-6.6453
198;10.0485;-172.4255;-75.6407;4.6726;-5.3326;-4.7127
199;3.2180;-175.9978;-86.6302;14.7829;-9.3642;-4.7895
200;-12.1381;-187.8984;-103.0965;18.4494;-9.5672;-5.9581
201;6.9309;-167.5021;-81.2484;18.9824;-7.4672;-3.6888
202;-37.5571;-202.4893;-117.8446;31.2116;-6.5952;-2.7809
203;-15.6283;-173.1528;-91.5226;37.6582;-4.8848;-3.5071
204;-7.5976;-169.5121;-84.6775;26.6333;-3.9941;-5.7477
205;-60.7322;-214.0336;-133.4584;27.4630;-5.0388;-0.7476
206;-54.1798;-212.1786;-127.0702;3.7652;-5.1364;-0.4400
209;-76.4149;-272.1923;-167.6705;-5.6099;-2.6622;3.4860
